Epochs,Lowest MAE,Highest R,Smoothed Epochs,Lowest MAE Smoothed,Highest R Smoothed,"R: 8, 8","R: 9, 8","R: 10, 8","R: 8, 9","R: 9, 9","R: 8, 10","MAE: 8, 8","MAE: 9, 8","MAE: 10, 8","MAE: 8, 9","MAE: 9, 9","MAE: 8, 10"
1.0,1.9740910132726033,1.9740910132726033,1.0,1.9740910132726033,1.9740910132726033,,,,,,,,,,,,
2.0,1.7982705036799114,1.7982705036799114,2.0,1.9389269113540648,1.9389269113540648,,,,,,,,,,,,
3.0,1.7132732073465984,1.7132732073465984,3.0,1.8937961705525717,1.8937961705525717,,,,,,,,,,,,
4.0,1.652287244796753,1.652287244796753,4.0,1.845494385401408,1.845494385401408,,,,,,,,,,,,
5.0,1.5847148100535076,1.5847148100535076,5.0,1.793338470331828,1.793338470331828,,,,,,,,,,,,
6.0,1.5132177273432414,1.5132177273432414,6.0,1.7373143217341107,1.7373143217341107,,,,,,,,,,,,
7.0,1.4353333711624146,1.4353333711624146,7.0,1.6769181316197714,1.6769181316197714,,,,,,,,,,,,
8.0,1.3530502716700237,1.3530502716700237,8.0,1.6121445596298218,1.6121445596298218,,,,,,,,,,,,
9.0,1.2581313848495483,1.2581313848495483,9.0,1.5413419246737672,1.5413419246737672,,,,,,,,,,,,
10.0,1.1778817971547444,1.1778817971547444,10.0,1.4686498991699626,1.4686498991699626,,,,,,,,,,,,
11.0,1.102467656135559,1.102467656135559,11.0,1.3954134505630817,1.3954134505630817,,,,,,,,,,,,
12.0,1.0397971669832866,1.0397971669832866,12.0,1.3242901938471228,1.3242901938471228,,,,,,,,,,,,
13.0,0.9793411493301392,0.9793411493301392,13.0,1.2553003849437259,1.2553003849437259,,,,,,,,,,,,
14.0,0.9411245584487915,0.9411245584487915,14.0,1.192465219644739,1.192465219644739,,,,,,,,,,,,
15.0,0.9153647025426229,0.9153647025426229,15.0,1.1370451162243158,1.1370451162243158,,,,,,,,,,,,
16.0,0.8833505113919576,0.8833505113919576,16.0,1.086306195257844,1.086306195257844,,,,,,,,,,,,
17.0,0.8664214213689169,0.8664214213689169,17.0,1.0423292404800586,1.0423292404800586,,,,,,,,,,,,
18.0,0.8416411081949869,0.8416411081949869,18.0,1.0021916140230442,1.0021916140230442,,,,,,,,,,,,
19.0,0.8315601746241251,0.8315601746241251,19.0,0.9680653261432604,0.9680653261432604,,,,,,,,,,,,
20.0,0.8081270456314087,0.8081270456314087,20.0,0.9360776700408899,0.9360776700408899,,,,,,,,,,,,
21.0,0.7929617563883463,0.7929617563883463,21.0,0.9074544873103813,0.9074544873103813,,,,,,,,,,,,
22.0,0.7728066047032675,0.7728066047032675,22.0,0.8805249107889584,0.8805249107889584,,,,,,,,,,,,
23.0,0.7638883392016093,0.7638883392016093,23.0,0.8571975964714886,0.8571975964714886,,,,,,,,,,,,
24.0,0.7579221526781718,0.7579221526781718,24.0,0.8373425077128253,0.8373425077128253,,,,,,,,,,,,
25.0,0.7417688568433126,0.7417688568433126,25.0,0.8182277775389227,0.8182277775389227,,,,,,,,,,,,
26.0,0.7337819139162699,0.7337819139162699,26.0,0.8013386048143922,0.8013386048143922,,,,,,,,,,,,
27.0,0.7211119731267294,0.7211119731267294,27.0,0.7852932784768596,0.7852932784768596,,,,,,,,,,,,
28.0,0.7112654050191244,0.7112654050191244,28.0,0.7704877037853125,0.7704877037853125,,,,,,,,,,,,
29.0,0.7068448066711426,0.7068448066711426,29.0,0.7577591243624785,0.7577591243624785,,,,,,,,,,,,
30.0,0.6984133720397949,0.6984133720397949,30.0,0.7458899738979419,0.7458899738979419,,,,,,,,,,,,
31.0,0.6925220092137655,0.6925220092137655,31.0,0.7352163809611065,0.7352163809611065,,,,,,,,,,,,
32.0,0.6783615946769714,0.6783615946769714,32.0,0.7238454237042795,0.7238454237042795,,,,,,,,,,,,
33.0,0.6718514959017435,0.6718514959017435,33.0,0.7134466381437723,0.7134466381437723,,,,,,,,,,,,
34.0,0.6639070709546407,0.6639070709546407,34.0,0.703538724705946,0.703538724705946,,,,,,,,,,,,
35.0,0.6595282554626465,0.6595282554626465,35.0,0.6947366308572861,0.6947366308572861,,,,,,,,,,,,
36.0,0.655573825041453,0.655573825041453,36.0,0.6869040696941194,0.6869040696941194,,,,,,,,,,,,
37.0,0.654880424340566,0.654880424340566,37.0,0.6804993406234088,0.6804993406234088,,,,,,,,,,,,
38.0,0.6454371611277262,0.6454371611277262,38.0,0.6734869047242722,0.6734869047242722,,,,,,,,,,,,
39.0,0.6489858031272888,0.6489858031272888,39.0,0.6685866844048756,0.6685866844048756,,,,,,,,,,,,
40.0,0.6379865805308024,0.6379865805308024,40.0,0.6624666636300609,0.6624666636300609,,,,,,,,,,,,
41.0,0.6495557427406311,0.6495557427406311,41.0,0.659884479452175,0.659884479452175,,,,,,,,,,,,
42.0,0.6446495850880941,0.6446495850880941,42.0,0.6568375005793589,0.6568375005793589,,,,,,,,,,,,
43.0,0.6165596842765808,0.6165596842765808,43.0,0.6487819373188033,0.6487819373188033,,,,,,,,,,,,
44.0,0.6301908691724142,0.6301908691724142,44.0,0.6450637236895255,0.6450637236895255,,,,,,,,,,,,
