SC: R,SC: MAE,SC Test: R,SC Test: MAE,Time,Time:  R,Time:  MAE,Time: Test R,Time: Test MAE,Time SC: 0;: R,Time SC: 1: R,Time SC: 0 : MAE,Time SC: 1 : MAE,Time SC: 0; Test R,Time SC: 1; Test R,Time SC: 0; Test MAE,Time SC: 1; Test MAE,Time Increasing: 0 : R,Time Increasing: 1 : R,Time Increasing: 0 : MAE,Time Increasing: 1 : MAE,Time Increasing: 0; Test R,Time Increasing: 1; Test R,Time Increasing: 0; Test MAE,Time Increasing: 1; Test MAE,Use 1 : R,Use 2 : R,Use 3 : R,Use 1 : MAE,Use 2 : MAE,Use 3 : MAE,ED 1.0: SC 0; R,ED 1.0: SC 1; R,ED 2.0: SC 0; R,ED 3.0: SC 0; R,ED 4.0: SC 0; R,ED 5.0: SC 0; R,ED 9.0: SC 0; R,ED 11.0: SC 0; R,ED 15.0: SC 0; R,ED 18.0: SC 0; R,ED 31.0: SC 0; R,ED 1.0: SC 0; MAE,ED 1.0: SC 1; MAE,ED 2.0: SC 0; MAE,ED 3.0: SC 0; MAE,ED 4.0: SC 0; MAE,ED 5.0: SC 0; MAE,ED 9.0: SC 0; MAE,ED 11.0: SC 0; MAE,ED 15.0: SC 0; MAE,ED 18.0: SC 0; MAE,ED 31.0: SC 0; MAE
0.9833882600069046,0.26127131655812263,0.9799106419086456,0.3094819486141205,1.0,0.9260637313127518,0.7315414994955063,0.9617970883846283,0.3993567153811455,0.9814133495092392,0.9852781295776367,0.2818881943821907,0.28447963297367096,0.9835596680641174,0.9824879169464111,0.2579236514866352,0.30358122289180756,0.9833357185125351,0.9842125624418259,0.2607586421072483,0.2876371815800667,0.9911368638277054,0.9805615246295929,0.2380097284913063,0.30826902389526367,0.9840675294399261,0.980585977435112,0.9886602759361267,0.284293994307518,0.28009170293807983,0.20835718140006065,0.9852656722068787,0.9678008705377579,0.980585977435112,0.9886602759361267,0.9907235652208328,0.9825206100940704,0.9779191464185715,0.995296522974968,0.9846044033765793,0.9862411916255951,0.9829950630664825,0.317710317671299,0.3929251804947853,0.28009170293807983,0.20835718140006065,0.23003994300961494,0.3624570518732071,0.35945331305265427,0.201708871871233,0.37248190492391586,0.14814159646630287,0.27305005863308907
0.9797646105289459,0.32154184579849243,0.9804404973983765,0.3029782921075821,2.0,0.9332337528467178,0.634116604924202,0.984221339225769,0.3021923005580902,0.9819890260696411,0.9806174784898758,0.30938152223825455,0.2882588505744934,0.9555730372667313,0.9896790832281113,0.5009432658553123,0.2104717269539833,0.9631023406982422,0.9862755984067917,0.37715818732976913,0.26365336030721664,0.9625139087438583,0.984707698225975,0.29416855052113533,0.300885871052742,0.9799551665782928,0.9940886199474335,0.9840515702962875,0.2913530245423317,0.2950567230582237,0.21384297311306,0.973984569311142,0.9838670343160629,0.9940886199474335,0.9840515702962875,0.9791484475135803,0.9940061718225479,0.9608570486307144,0.9857675135135651,0.9863074421882629,0.9819208234548569,0.9877384901046753,0.3276584669947624,0.30407897382974625,0.2950567230582237,0.21384297311306,0.3774074614048004,0.22828249260783195,0.36502741277217865,0.24009880796074867,0.26115137711167336,0.20393148809671402,0.21311356127262115
,,,,3.0,0.9373070299625397,0.6005164384841919,0.9824665933847427,0.3520500361919403,0.9860054403543472,0.9804222285747528,0.25785715132951736,0.2985233962535858,0.975188598036766,0.9822542816400528,0.24646910279989243,0.39893580973148346,0.985162690281868,0.9814578741788864,0.2921866998076439,0.2776648625731468,0.9757779389619827,0.9802253842353821,0.36689578741788864,0.2752864360809326,0.9817382246255875,0.9922870993614197,0.9807842671871185,0.28273797780275345,0.25721027702093124,0.2595350742340088,0.9800993502140045,0.985289067029953,0.9922870993614197,0.9807842671871185,0.9899958968162537,0.9672641605138779,0.9705178737640381,0.9851565957069397,0.9832710921764374,0.9829942435026169,0.9863523095846176,0.3057616278529167,0.3069787211716175,0.25721027702093124,0.2595350742340088,0.22621364891529083,0.2814656235277653,0.4035707041621208,0.2548355162143707,0.24104712158441544,0.24443063512444496,0.2643316797912121
,,,,4.0,0.9486686885356903,0.5506725758314133,0.9764631986618042,0.33518193662166595,0.9829192459583282,0.9723817110061646,0.2968979626893997,0.3437834456562996,0.9748535007238388,0.9751822650432587,0.32261016964912415,0.35579462349414825,0.97110515832901,0.9788832664489746,0.37041696161031723,0.308324433863163,0.9375700503587723,0.9849886447191238,0.45895538479089737,0.3110300526022911,0.9795839935541153,0.9270568042993546,0.9772676676511765,0.30722688883543015,0.5432234704494476,0.38249678909778595,0.979476809501648,0.9823127090930939,0.9270568042993546,0.9772676676511765,0.98208849132061,0.9884646236896515,0.9800107628107071,0.9809093326330185,0.9621463567018509,0.995418518781662,0.9834087640047073,0.31709471344947815,0.27291179075837135,0.5432234704494476,0.38249678909778595,0.2794695869088173,0.288720965385437,0.34359363466501236,0.33033256977796555,0.30554070323705673,0.20180761069059372,0.31456976383924484
,,,,5.0,0.9551172703504562,0.4951188638806343,0.9719011634588242,0.3095012977719307,0.9811059832572937,0.9781317710876465,0.3072047531604767,0.3116965889930725,0.9823469072580338,0.976622000336647,0.2649351730942726,0.25404492393136024,0.9905286878347397,0.9764489382505417,0.21076363325119019,0.34213659912347794,0.9889279156923294,0.9757600873708725,0.23752282559871674,0.2687736116349697,0.9813194572925568,0.9494979828596115,0.9779919981956482,0.30436795204877853,0.438003234565258,0.2771156020462513,0.9848276227712631,0.9674234092235565,0.9494979828596115,0.9779919981956482,0.9867418110370636,0.9951039254665375,0.9784712344408035,0.9888865798711777,0.9663865715265274,0.9942584335803986,0.9861750304698944,0.26435934752225876,0.4088982567191124,0.438003234565258,0.2771156020462513,0.2633151561021805,0.21170766651630402,0.3587205745279789,0.2574504241347313,0.37605494260787964,0.28419316932559013,0.26842784881591797
,,,,6.0,0.9609337449073792,0.4462667256593704,0.9766644984483719,0.2923325300216675,0.986477792263031,0.9831666946411133,0.23729759454727173,0.2929771915078163,0.9811910539865494,0.9809200316667557,0.27844977006316185,0.33254238218069077,0.9845561385154724,0.9844768941402435,0.26815972849726677,0.27365458756685257,0.9909658432006836,0.9782480448484421,0.2228139191865921,0.3302425593137741,0.9844780117273331,0.973609134554863,0.991189107298851,0.2660944536328316,0.36796535551548004,0.27090228721499443,0.9761088788509369,0.99078169465065,0.973609134554863,0.991189107298851,0.9782588332891464,0.9926252663135529,0.9908322840929031,0.9896018505096436,0.9664309173822403,0.9960997253656387,0.9907448291778564,0.3363790884613991,0.24614761769771576,0.36796535551548004,0.27090228721499443,0.2604309469461441,0.2926098331809044,0.23006001487374306,0.26268795877695084,0.27554304897785187,0.20318680256605148,0.222549419850111
,,,,7.0,0.9654810726642609,0.41916098445653915,0.9875565618276596,0.2618490494787693,0.9785252511501312,0.9808098673820496,0.3136388063430786,0.31146420538425446,0.9857016652822495,0.9834342300891876,0.2647074945271015,0.3177017644047737,0.9762819707393646,0.980889305472374,0.3317876383662224,0.3073623850941658,0.9756716042757034,0.9861820936203003,0.36352308094501495,0.25018133223056793,0.9791028797626495,0.9870343953371048,0.9857355803251266,0.31770918518304825,0.21902992203831673,0.3674009367823601,0.9747767001390457,0.9924931526184082,0.9870343953371048,0.9857355803251266,0.9811176210641861,0.9869352430105209,0.9850856810808182,0.9775398969650269,0.9782427102327347,0.9920726418495178,0.9576231986284256,0.36009252071380615,0.24403317645192146,0.21902992203831673,0.3674009367823601,0.3277336359024048,0.23193231225013733,0.2990165278315544,0.31742672622203827,0.3507736772298813,0.3172094337642193,0.40268121659755707
,,,,8.0,0.96793432533741,0.40293391048908234,0.985794261097908,0.27396033704280853,0.9820749461650848,0.9792827367782593,0.27463770657777786,0.2762867659330368,0.9717424362897873,0.9826101064682007,0.3733564242720604,0.26049479097127914,0.9769491702318192,0.9813198894262314,0.2933902069926262,0.2744312360882759,0.9500439316034317,0.9896336644887924,0.4567190483212471,0.2292359508574009,0.9802992343902588,0.9831130504608154,0.9821152091026306,0.28197459131479263,0.26405321434140205,0.3639824651181698,0.9888484925031662,0.9762573093175888,0.9831130504608154,0.9821152091026306,0.981195479631424,0.9493237435817719,0.9939077496528625,0.9847744107246399,0.9701743274927139,0.9916935414075851,0.9861360043287277,0.26406416669487953,0.3125530928373337,0.26405321434140205,0.3639824651181698,0.2594490945339203,0.47606901079416275,0.19426778703927994,0.23872847855091095,0.3452337309718132,0.23337169364094734,0.29724637418985367
,,,,9.0,0.9704801887273788,0.38669390976428986,0.9866576194763184,0.25086724385619164,0.9818954467773438,0.9851010590791702,0.2962755262851715,0.3119281306862831,0.982630118727684,0.9841341376304626,0.33333658427000046,0.34555064886808395,0.9849551171064377,0.9834099411964417,0.30804239958524704,0.30954139679670334,0.9777427613735199,0.9836971163749695,0.33975349366664886,0.33181628584861755,0.9848785251379013,0.9827201962471008,0.9615630060434341,0.2931184619665146,0.37458129972219467,0.6052255183458328,0.9903156757354736,0.9857314079999924,0.9827201962471008,0.9615630060434341,0.9822486042976379,0.9828614592552185,0.9907584190368652,0.9910459518432617,0.9824146628379822,0.9354048371315002,0.9843404293060303,0.2969079092144966,0.2430577129125595,0.37458129972219467,0.6052255183458328,0.3534744307398796,0.3842126205563545,0.2740456536412239,0.21609076112508774,0.26981909573078156,0.32742153853178024,0.29630720615386963
,,,,10.0,0.9733497053384781,0.3690004199743271,0.9839110821485519,0.3013128936290741,0.98414246737957,0.9825260490179062,0.2853621169924736,0.30063097923994064,0.9780701547861099,0.975034236907959,0.3252440467476845,0.37610795348882675,0.977657362818718,0.985774040222168,0.3257000967860222,0.2855662554502487,0.9533537030220032,0.9870824068784714,0.5767661333084106,0.2674657478928566,0.9854450523853302,0.9705863147974014,0.9616840332746506,0.2867230251431465,0.3781593069434166,0.3188452571630478,0.9906854033470154,0.9768185615539551,0.9705863147974014,0.9616840332746506,0.9914248585700989,0.9778509438037872,0.985369011759758,0.9872142970561981,0.9904651343822479,0.9753616154193878,0.9824797064065933,0.2619590722024441,0.37075992673635483,0.3781593069434166,0.3188452571630478,0.23414751142263412,0.3847128674387932,0.27665582299232483,0.2797013968229294,0.31584489345550537,0.2570835202932358,0.2558317072689533
