Real NN 0 Correlation for Spin Coating - 0: MAE,Predicted NN 0 Correlation for Spin Coating - 0: MAE,Real NN 1 Correlation for Spin Coating - 0: MAE,Predicted NN 1 Correlation for Spin Coating - 0: MAE,Real NN 2 Correlation for Spin Coating - 0: MAE,Predicted NN 2 Correlation for Spin Coating - 0: MAE,Real NN 3 Correlation for Spin Coating - 0: MAE,Predicted NN 3 Correlation for Spin Coating - 0: MAE,,Real NN 0 Correlation for Spin Coating - 1: MAE,Predicted NN 0 Correlation for Spin Coating - 1: MAE,Real NN 1 Correlation for Spin Coating - 1: MAE,Predicted NN 1 Correlation for Spin Coating - 1: MAE,Real NN 2 Correlation for Spin Coating - 1: MAE,Predicted NN 2 Correlation for Spin Coating - 1: MAE,Real NN 3 Correlation for Spin Coating - 1: MAE,Predicted NN 3 Correlation for Spin Coating - 1: MAE,
0.93,1.002415419,0.93,1.283854604,0.93,1.000061274,0.93,1.032913685,1.079811246,8.4,8.960539818,8.4,8.730939865,8.4,8.633658409,8.4,8.779952049,8.776272535
0.69,0.646163464,0.69,0.892589927,0.69,0.691162109,0.69,0.778176844,0.752023086,7.1,5.45690012,7.1,5.243988991,7.1,6.016075134,7.1,5.977817535,5.673695445
0.64,0.551226377,0.64,0.835652232,0.64,0.827686548,0.64,0.572475791,0.696760237,3.12,2.792172909,3.12,3.015892506,3.12,3.063863277,3.12,3.058282375,2.982552767
4.51,4.477736473,4.51,4.431529045,4.51,4.462916374,4.51,4.561879635,4.483515382,2.93,2.764265776,2.93,3.039052248,2.93,2.994776487,2.93,3.665325403,3.115854979
1.88,2.40251708,1.88,2.274804831,1.88,2.17155695,1.88,1.98670578,2.20889616,0.95,0.948036194,0.95,0.828543067,0.95,1.016991615,0.95,1.010508776,0.951019913
0.94,0.9654001,0.94,0.894246936,0.94,0.868916273,0.94,0.945985198,0.918637127,0.95,0.869199157,0.95,0.982489467,0.95,0.904065788,0.95,0.933660865,0.922353819
0.77,0.768999696,0.77,0.822683275,0.77,0.775416315,0.77,0.844072998,0.802793071,0.95,0.917320609,0.95,0.910196185,0.95,0.940127254,0.95,0.930634439,0.924569622
0.77,0.884622097,0.77,1.085316658,0.77,0.76940006,0.77,0.955986679,0.923831374,0.95,1.074410677,0.95,0.88713491,0.95,1.02342391,0.95,1.040834427,1.006450981
0.87,0.918879628,0.87,1.093662143,0.87,0.850498199,0.87,0.781078756,0.911029682,8.4,7.698474884,8.4,7.887369633,8.4,8.679884911,8.4,8.539885521,8.201403737
0.87,0.800436556,0.87,1.131961703,0.87,1.177681923,0.87,0.783149004,0.973307297,7.39,7.587386131,7.39,7.527787685,7.39,7.593310356,7.39,7.770103931,7.619647026
4.36,5.227480888,4.36,5.544970512,4.36,4.977701187,4.36,5.309770584,5.264980793,8.4,8.442371368,8.4,8.600914001,8.4,8.42780304,8.4,8.588603973,8.514923096
4.4,4.505300522,4.4,4.47401762,4.4,4.495088577,4.4,4.553100586,4.506876826,0.95,0.942994475,0.95,0.8738603,0.95,0.984685659,0.95,1.0152421,0.954195634
3.64,3.800276518,3.64,3.54098177,3.64,3.73850131,3.64,4.220642567,3.825100541,0.95,1.040997028,0.95,1.071852565,0.95,0.954231381,0.95,0.923153818,0.997558698
1.05,1.065310359,1.05,0.920869708,1.05,1.09746933,1.05,0.995311558,1.019740239,8.4,8.488131523,8.4,8.707732201,8.4,8.42432785,8.4,8.575088501,8.548820019
4.42,4.575051308,4.42,4.500226021,4.42,4.50043869,4.42,4.592439175,4.542038799,0.95,1.223984241,0.95,0.845225811,0.95,0.965698898,0.95,0.901316583,0.984056383
4.52,4.372704029,4.52,4.343680859,4.52,4.445944786,4.52,4.52842617,4.422688961,3.18,4.351178169,3.18,4.674709797,3.18,4.275935173,3.18,3.369825363,4.167912126
6.64,6.521456718,6.64,6.297105312,6.64,6.59179306,6.64,6.402484894,6.453209996,4.7,5.26586628,4.7,4.849141121,4.7,5.478510857,4.7,5.27521801,5.217184067
4.85,4.753057957,4.85,4.367918968,4.85,4.177280426,4.85,4.388379097,4.421659112,0.93,0.418615699,0.93,0.576939225,0.93,0.853030205,0.93,0.56243819,0.60275583
0.86,0.871596813,0.86,0.447226852,0.86,0.976446867,0.86,0.635070145,0.732585169,3.2,4.088559628,3.2,3.722403288,3.2,4.682574272,3.2,4.358263016,4.212950051
0.85,0.863168478,0.85,0.624683976,0.85,0.928318977,0.85,1.307545424,0.930929214,3.18,2.904789686,3.18,2.58823514,3.18,2.986371517,3.18,2.935977936,2.85384357
0.93,1.044587851,0.93,1.323943496,0.93,1.160656571,0.93,1.106661081,1.15896225,1.04,0.854297519,1.04,0.957325578,1.04,1.195104122,1.04,0.87305522,0.96994561
6.64,6.039608002,6.64,5.219148636,6.64,6.792871475,6.64,5.264174461,5.828950644,3.12,2.677744627,3.12,3.081907034,3.12,3.103964567,3.12,2.837911129,2.925381839
0.84,0.988236427,0.84,0.78791225,0.84,0.959159136,0.84,0.791110098,0.881604478,1.1,1.535394192,1.1,1.300215602,1.1,1.382621765,1.1,1.418218136,1.409112424
6.47,6.578023434,6.47,6.56352663,6.47,6.738181114,6.47,6.885663986,6.691348791,0.95,0.959064245,0.95,0.888816953,0.95,1.039899945,0.95,1.083114862,0.992724001
0.73,1.464075327,0.73,1.951790452,0.73,1.459679961,0.73,1.576626062,1.613042951,6.6,7.13500452,6.6,7.006579876,6.6,7.480185509,6.6,6.953899384,7.143917322
4.36,4.460066319,4.36,4.402014732,4.36,4.445306778,4.36,4.500090599,4.451869607,3.18,4.619631767,3.18,4.633016109,3.18,4.278438568,3.18,3.509551525,4.260159492
4.1,4.078653336,4.1,3.757565498,4.1,3.989560366,4.1,4.364061832,4.047460258,1.04,1.013237834,1.04,0.992382407,1.04,1.080681682,1.04,1.116305113,1.050651759
4.4,4.231499195,4.4,4.220806122,4.4,4.457939148,4.4,4.170931816,4.27029407,0.95,0.926232576,0.95,0.931574225,0.95,0.950853825,0.95,1.017573833,0.956558615
4.75,4.390776157,4.75,4.46405983,4.75,5.013204575,4.75,4.881892204,4.687483192,3.12,3.578090429,3.12,3.2911098,3.12,3.458652258,3.12,3.456770897,3.446155846
0.7,0.912982225,0.7,0.791783452,0.7,1.012687206,0.7,1.322974682,1.010106891,0.95,1.032973528,0.95,0.890395522,0.95,0.9844594,0.95,0.93698144,0.961202473
3.95,3.60573411,3.95,3.641610146,3.95,3.314893246,3.95,3.753232002,3.578867376,0.95,1.118544817,0.95,0.932284474,0.95,0.995929241,0.95,0.960933208,1.001922935
4.39,4.501355171,4.39,4.433913231,4.39,4.465543747,4.39,4.583682537,4.496123672,7.39,7.739893913,7.39,7.565073013,7.39,7.170573235,7.39,7.508800507,7.496085167
4.32,4.715695381,4.32,4.382272243,4.32,4.488210678,4.32,4.528838634,4.528754234,0.95,0.982076764,0.95,0.799507976,0.95,0.93710804,0.95,1.014144659,0.93320936
0.94,0.90925622,0.94,0.884342074,0.94,0.918587923,0.94,0.832723379,0.886227399,8.4,7.833157539,8.4,8.351601601,8.4,8.360143661,8.4,8.928467751,8.368342638
4.01,4.389447212,4.01,3.945486784,4.01,4.439017296,4.01,4.692869663,4.366705239,0.95,1.336827993,0.95,0.761749208,0.95,0.917239785,0.95,0.851959229,0.966944054
4.01,4.190903664,4.01,3.872764349,4.01,4.262574196,4.01,4.735962391,4.26555115,0.95,0.842342019,0.95,1.003626704,0.95,1.116278291,0.95,1.070351362,1.008149594
6.15,6.346238136,6.15,6.522209644,6.15,6.937007904,6.15,6.30825901,6.528428674,2.8,3.273252487,2.8,3.224532843,2.8,3.471615553,2.8,3.502940178,3.368085265
4.02,4.164046764,4.02,4.129659176,4.02,4.196522713,4.02,4.096500397,4.146682263,8.6,8.588681221,8.6,7.959821701,8.6,8.660390854,8.6,8.581738472,8.447658062
2.72,2.171962976,2.72,2.236878395,2.72,2.353917122,2.72,2.122147799,2.221226573,0.56,1.148753047,0.56,0.950379848,0.56,0.955727637,0.56,0.859281063,0.978535399
4.75,4.949279785,4.75,4.671562195,4.75,4.891582489,4.75,5.492769241,5.001298428,0.9,0.878185153,0.9,0.979420781,0.9,1.212779999,0.9,0.91489464,0.996320143
1.93,2.066863775,1.93,1.849803805,1.93,2.170277834,1.93,2.20389986,2.072711319,3.62,3.79502058,3.62,3.362165213,3.62,3.780197859,3.62,4.12668705,3.766017676
0.6,0.691792011,0.6,0.860848546,0.6,0.909669042,0.6,1.227236748,0.922386587,6.6,5.988056183,6.6,6.046710968,6.6,7.374653816,6.6,7.428593636,6.709503651
0.7,0.949306011,0.7,0.504836679,0.7,0.898954272,0.7,1.140219688,0.873329163,8.4,8.648423195,8.4,8.995595932,8.4,8.475432396,8.4,8.616621017,8.684018135
4.88,5.055496216,4.88,5.401875496,4.88,4.931083679,4.88,5.243252277,5.157926917,2.8,3.238250732,2.8,3.077409506,2.8,3.463685513,2.8,3.51580286,3.323787153
7.62,7.134841919,7.62,6.960634708,7.62,7.38779068,7.62,7.320170879,7.200859547,0.95,1.023587346,0.95,0.909870863,0.95,0.986112952,0.95,0.909771621,0.957335696
0.56,0.62605381,0.56,0.452538818,0.56,0.773563504,0.56,0.438812256,0.572742097,0.82,0.63538909,0.82,0.482098192,0.82,0.810053408,0.82,0.632928252,0.640117236
4.5,4.520316124,4.5,4.509467125,4.5,4.468141556,4.5,4.648287773,4.536553145,0.6,0.725038826,0.6,0.840225816,0.6,0.917266428,0.6,0.948595822,0.857781723
0.6,-0.062488586,0.6,0.568114519,0.6,0.527323723,0.6,0.782751799,0.453925364,0.86,2.662991285,0.86,3.459562778,0.86,2.024638176,0.86,2.943369865,2.772640526
0.6,1.093795538,0.6,0.928171039,0.6,1.242236972,0.6,1.099535108,1.090934664,0.95,0.931686163,0.95,0.839830875,0.95,0.982285261,0.95,0.940430999,0.923558325
4.36,5.373082638,4.36,5.619540215,4.36,5.000761032,4.36,5.258340359,5.312931061,6.26,6.504090786,6.26,6.585812092,6.26,6.619486809,6.26,6.558264732,6.566913605
4.01,4.162581921,4.01,3.855562449,4.01,4.14382267,4.01,4.762029171,4.230999053,0.95,0.997577667,0.95,0.867064357,0.95,0.932550967,0.95,0.927333832,0.931131706
4.51,4.423477173,4.51,4.462842941,4.51,4.462086678,4.51,4.629736423,4.494535804,0.95,1.030026436,0.95,0.899424791,0.95,1.098889351,0.95,1.001097441,1.007359505
0.75,0.754872918,0.75,0.597134948,0.75,0.965539455,0.75,0.760629356,0.769544169,5.9,5.119754314,5.9,5.794819832,5.9,4.527569771,5.9,5.197426796,5.159892678
4.01,4.766418457,4.01,4.272888184,4.01,4.7064991,4.01,4.542756557,4.572140575,3.64,3.434434891,3.64,2.860073566,3.64,3.316786528,3.64,3.465324402,3.269154847
0.87,0.943764687,0.87,0.883032203,0.87,0.914950371,0.87,0.92098552,0.915683195,0.95,1.042031169,0.95,0.918064475,0.95,0.995078623,0.95,0.914307058,0.967370331
7.62,6.452383041,7.62,6.440488815,7.62,6.611118317,7.62,6.780485153,6.571118832,1.88,1.987299681,1.88,2.194046021,1.88,1.834066391,1.88,1.769519329,1.946232856
0.85,0.839216232,0.85,0.63397491,0.85,0.911148608,0.85,1.062840462,0.861795053,1.88,1.67124939,1.88,1.696367264,1.88,1.905097246,1.88,1.735232353,1.751986563
3.6,3.409084797,3.6,2.984161854,3.6,3.463770628,3.6,3.643832684,3.375212491,5.1,5.039754391,5.1,5.412563324,5.1,6.459830284,5.1,6.734446526,5.911648631
4.75,4.61913538,4.75,4.288988113,4.75,4.634709358,4.75,5.3478055,4.722659588,0.95,0.950374603,0.95,0.826144457,0.95,0.985142708,0.95,1.010979533,0.943160325
0.93,0.929261208,0.93,1.196081042,0.93,0.985801935,0.93,1.032668352,1.035953134,7.39,6.846511841,7.39,4.949318886,7.39,6.986204147,7.39,6.453548908,6.308895946
2.79,2.53343606,2.79,2.811621428,2.79,2.60084939,2.79,2.466592789,2.603124917,0.95,0.831890702,0.95,0.983626246,0.95,0.848240197,0.95,0.938555658,0.900578201
4.5,4.488615036,4.5,4.463432789,4.5,4.494256973,4.5,4.544500828,4.497701407,2.8,3.552747011,2.8,3.575196266,2.8,3.627831936,2.8,3.562043905,3.57945478
0.77,-0.713030934,0.77,0.716879964,0.77,0.732234478,0.77,0.567795217,0.325969681,5.9,5.189744473,5.9,5.602872849,5.9,4.640500069,5.9,5.084240913,5.129339576
6.47,4.92425251,6.47,5.26537323,6.47,5.229802132,6.47,5.353204727,5.19315815,3.12,2.515583992,3.12,2.687678337,3.12,2.644587278,3.12,2.529042244,2.594222963
6.47,6.487890244,6.47,6.541063309,6.47,6.689876556,6.47,6.274386406,6.498304129,1.63,2.173173428,1.63,1.614654541,1.63,1.715799212,1.63,1.646603823,1.787557751
0.81,0.847674131,0.81,1.118275523,0.81,1.284034252,0.81,0.807333589,1.014329374,6.6,6.769814491,6.6,6.137303829,6.6,7.545256615,6.6,7.568140984,7.00512898
0.94,0.945201397,0.94,0.860031962,0.94,0.886133432,0.94,0.969644606,0.915252849,0.95,1.005955815,0.95,0.964398742,0.95,0.949362159,0.95,0.954515994,0.968558178
5.73,6.468626976,5.73,6.67288208,5.73,6.444776535,5.73,6.274144173,6.465107441,0.86,0.699386835,0.86,0.585223556,0.86,0.973499298,0.86,1.295722246,0.888457984
0.6,1.054986954,0.6,0.893578172,0.6,1.202601552,0.6,1.097831249,1.062249482,1.04,0.992683172,1.04,1.051276565,1.04,1.155511022,1.04,1.120469093,1.079984963
4.51,4.380975246,4.51,4.449278355,4.51,4.480037689,4.51,4.478865147,4.447289109,0.95,0.942166567,0.95,0.940895677,0.95,0.959636688,0.95,1.015525937,0.964556217
4.42,4.564501762,4.42,4.565720081,4.42,4.48919487,4.42,4.573458195,4.548218727,0.95,0.854477406,0.95,0.695874095,0.95,1.117160559,0.95,0.887194872,0.888676733
0.81,0.84268856,0.81,0.961415172,0.81,1.091366768,0.81,0.845217824,0.935172081,1.04,1.002433538,1.04,0.828371406,1.04,1.117947817,1.04,1.721398115,1.167537719
1.93,1.953933716,1.93,1.751827598,1.93,2.051697969,1.93,2.043354034,1.950203329,0.95,1.027943015,0.95,0.910790563,0.95,1.00174284,0.95,0.971675456,0.978037969
4.1,4.350031853,4.1,3.938694715,4.1,4.441813469,4.1,4.401281357,4.282955349,0.95,0.985088825,0.95,0.834679723,0.95,0.840304136,0.95,0.980415165,0.910121962
0.77,1.05291748,0.77,1.13529551,0.77,0.764224112,0.77,0.77989763,0.933083683,4.2,4.320497036,4.2,4.483808041,4.2,4.532607079,4.2,4.545183182,4.470523835
6.15,5.917076588,6.15,5.841304302,6.15,6.160933495,6.15,5.898869514,5.954545975,8.02,8.119137764,8.02,7.949275017,8.02,8.347250938,8.02,8.781291008,8.299238682
1.63,2.07242465,1.63,1.881954789,1.63,1.831305385,1.63,1.843340874,1.907256425,8.71,7.571060181,8.71,7.286915779,8.71,7.797875404,8.71,7.820885658,7.619184256
0.59,0.486842841,0.59,0.639478326,0.59,0.622618735,0.59,0.685447752,0.608596914,0.76,0.798491716,0.76,0.671283603,0.76,0.845607638,0.76,0.833822131,0.787301272
6.64,6.192344666,6.64,5.522727966,6.64,6.235138893,6.64,6.37982893,6.082510114,1.3,2.922929525,1.3,2.550021172,1.3,2.76609683,1.3,2.781215668,2.755065799
0.85,0.903336048,0.85,0.489240736,0.85,0.921106458,0.85,1.231769323,0.886363141,0.95,-0.282289535,0.95,0.210312694,0.95,0.681164563,0.95,0.898970187,0.377039477
0.59,0.678146601,0.59,0.857883811,0.59,0.617262781,0.59,0.602292478,0.688896418,0.9,0.986896038,0.9,1.324305773,0.9,0.893389523,0.9,1.450019121,1.163652614
1.49,1.856562138,1.49,1.720517635,1.49,1.8282094,1.49,1.708158016,1.778361797,4.8,5.21011734,4.8,5.129504204,4.8,5.537435532,4.8,5.684882164,5.39048481
3.04,2.7303617,3.04,2.323879242,3.04,2.981843233,3.04,2.935755253,2.742959857,0.95,0.967841744,0.95,0.868073344,0.95,0.93930614,0.95,1.017396212,0.94815436
4.43,4.497807026,4.43,4.3799963,4.43,4.474588394,4.43,4.453752995,4.451536179,0.56,1.055319786,0.56,1.040178895,0.56,0.951201558,0.56,0.93280822,0.994877115
4.31,4.487244606,4.31,4.424289703,4.31,4.464693069,4.31,4.575865269,4.488023162,4.8,5.20720768,4.8,5.14264679,4.8,5.50733757,4.8,5.70506382,5.390563965
3.95,4.346548557,3.95,4.213274956,3.95,4.190339088,3.95,3.959719419,4.177470505,0.95,0.993249655,0.95,0.932856441,0.95,0.805952311,0.95,0.953728795,0.921446801
6.64,6.295278549,6.64,5.509839058,6.64,6.077098846,6.64,6.295527935,6.044436097,5.27,5.995884418,5.27,5.601710796,5.27,6.034944534,5.27,5.807390213,5.85998249
4.36,4.473501682,4.36,4.418654919,4.36,4.48160553,4.36,4.544219017,4.479495287,7.89,7.927264214,7.89,7.672485352,7.89,7.892839432,7.89,7.790625095,7.820803523
5.73,6.200357914,5.73,6.26745224,5.73,6.321596146,5.73,6.399673462,6.297269941,0.95,0.742157102,0.95,0.840939641,0.95,1.42772603,0.95,1.050578594,1.015350342
4.36,4.835249424,4.36,5.169797421,4.36,5.09747982,4.36,5.003628731,5.026538849,8.71,7.747889042,8.71,8.045315742,8.71,7.570925713,8.71,7.644535065,7.752166391
2.79,2.305250883,2.79,2.401660442,2.79,2.507199287,2.79,2.525799751,2.434977591,3.12,3.004337788,3.12,2.793284416,3.12,3.193885088,3.12,2.989989996,2.995374322
4.5,4.491672516,4.5,4.492440701,4.5,4.489985466,4.5,4.540999889,4.503774643,2.93,2.66684103,2.93,2.465272427,2.93,2.793836355,2.93,3.006180048,2.733032465
0.6,0.789966106,0.6,0.110518552,0.6,1.035477281,0.6,0.556409299,0.62309281,0.95,1.041940093,0.95,1.048071146,0.95,0.972766876,0.95,0.922219813,0.996249482
0.69,0.744590044,0.69,0.854323268,0.69,0.712571859,0.69,0.719168603,0.757663444,0.7,1.066904306,0.7,0.861187339,0.7,1.072661161,0.7,0.9417153,0.985617027
0.73,1.377749801,0.73,1.507449865,0.73,1.177247047,0.73,1.300492764,1.340734869,8,7.77132988,8,7.559845924,8,7.666063309,8,7.560357571,7.639399171
2.16,2.36790204,2.16,2.265935183,2.16,1.943168402,2.16,1.839790583,2.104199052,8.02,8.11626339,8.02,8.114209175,8.02,8.511691093,8.02,8.373801231,8.278991222
0.59,0.517576456,0.59,0.630039096,0.59,0.677262664,0.59,0.555938184,0.5952041,1.1,1.443651676,1.1,0.619876504,1.1,2.09296298,1.1,1.368811011,1.381325543
4.01,4.185347557,4.01,3.889596701,4.01,4.150431633,4.01,4.622170925,4.211886704,2.12,1.948892236,2.12,1.746405005,2.12,2.243749142,2.12,2.205914259,2.036240161
0.67,0.711222768,0.67,0.799963832,0.67,1.084391356,0.67,0.7580809,0.838414714,4.35,3.876040936,4.35,4.316050529,4.35,4.437076569,4.35,4.204652309,4.208455086
1.49,1.645736694,1.49,1.634274721,1.49,1.822541118,1.49,1.641678333,1.686057717,0.95,0.976698875,0.95,0.856773496,0.95,1.001780033,0.95,0.97558558,0.952709496
0.8,0.874891996,0.8,0.41293481,0.8,0.700303137,0.8,0.854256272,0.710596554,0.95,1.043063283,0.95,1.011134744,0.95,0.975591183,0.95,0.922108531,0.987974435
6.47,6.284867287,6.47,6.221479416,6.47,6.544003487,6.47,6.297063828,6.336853505,1.04,1.122870684,1.04,1.019992113,1.04,1.077791691,1.04,1.165941358,1.096648962
0.7,0.22341463,0.7,0.610301614,0.7,0.577500701,0.7,0.771532774,0.54568743,8.6,9.063719749,8.6,8.79854393,8.6,9.263277054,8.6,8.922643661,9.012046099
6.48,6.195524216,6.48,5.807842255,6.48,6.148686409,6.48,6.621603012,6.193413973,1.04,1.183034778,1.04,0.849987626,1.04,1.13643527,1.04,1.407588005,1.14426142
6.15,5.55084753,6.15,6.563626289,6.15,6.459870338,6.15,6.806889534,6.345308423,4.35,4.109223843,4.35,4.213011742,4.35,4.369711876,4.35,4.406801701,4.274687291
2.16,2.125550508,2.16,2.122830629,2.16,1.774930716,2.16,2.393340111,2.104162991,0.95,1.104551673,0.95,0.899742007,0.95,1.043976188,0.95,1.023891449,1.018040329
4.85,4.93294239,4.85,4.672940254,4.85,5.060854912,4.85,4.619311333,4.821512222,0.95,0.94010067,0.95,0.893242717,0.95,0.967533588,0.95,0.894844353,0.923930332
1.05,1.036488175,1.05,1.205106139,1.05,1.141178846,1.05,0.955314219,1.084521845,6.47,5.94405508,6.47,5.974312305,6.47,6.279213905,6.47,6.070055962,6.066909313
6.64,6.433378696,6.64,6.172833443,6.64,6.510004044,6.64,6.842946529,6.489790678,0.95,0.986251712,0.95,0.938684344,0.95,0.948590517,0.95,0.943977356,0.954375982
2.79,2.493740559,2.79,2.029750586,2.79,2.095012188,2.79,2.299160719,2.229416013,2.71,2.657182217,2.71,2.813840151,2.71,2.817120314,2.71,2.914613724,2.800689102
0.87,0.798131824,0.87,1.04839313,0.87,1.188754797,0.87,0.782723844,0.954500899,6.6,7.062527657,6.6,7.026930809,6.6,7.00561142,6.6,7.397890568,7.123240114
0.8,0.766570091,0.8,0.595160127,0.8,0.874891639,0.8,1.052794695,0.822354138,1.04,1.23815918,1.04,0.858683467,1.04,1.143896341,1.04,1.320503473,1.140310615
0.87,0.808427334,0.87,1.007448077,0.87,1.139806986,0.87,0.780813932,0.934124082,0.95,0.634057403,0.95,0.905605197,0.95,1.138045788,0.95,1.172231913,0.962485075
6.48,6.257236481,6.48,5.48061657,6.48,6.156281471,6.48,6.508617878,6.1006881,6.1,5.946604729,6.1,6.161935806,6.1,6.377555847,6.1,5.87127161,6.089341998
4.38,4.469815254,4.38,4.48622179,4.38,4.466553688,4.38,4.713824749,4.53410387,0.95,0.972734571,0.95,0.796801448,0.95,0.938132465,0.95,1.013642669,0.930327788
4.88,5.055496216,4.88,5.401875496,4.88,4.931083679,4.88,5.243252277,5.157926917,0.93,0.138730854,0.93,0.757686019,0.93,0.748894811,0.93,0.697876513,0.585797049
3.37,4.130459309,3.37,3.630099058,3.37,3.683266878,3.37,3.635585308,3.769852638,0.95,0.956114054,0.95,1.06147182,0.95,0.949823141,0.95,1.020294666,0.99692592
1.93,1.835627437,1.93,1.656097531,1.93,1.91910243,1.93,2.132445335,1.885818183,5.1,5.168776512,5.1,4.713667393,5.1,5.407953262,5.1,5.453560352,5.18598938
4.39,4.950330734,4.39,4.351295948,4.39,4.53657341,4.39,4.685408592,4.630902171,5.1,4.755743504,5.1,4.58424902,5.1,4.897920609,5.1,5.075321198,4.828308583
0.94,0.940731287,0.94,0.851691127,0.94,0.892987251,0.94,0.983362615,0.91719307,3.2,4.203348637,3.2,4.095321655,3.2,4.252699852,3.2,4.570013523,4.280345917
3.64,4.009399891,3.64,3.616070271,3.64,3.852634907,3.64,4.121030807,3.899783969,0.95,0.982061148,0.95,0.916976452,0.95,0.831529617,0.95,0.94327116,0.918459594
0.86,0.601622224,0.86,0.559165478,0.86,0.886620522,0.86,0.917248547,0.741164193,3.64,3.442397356,3.64,2.828509808,3.64,3.311848879,3.64,3.496778965,3.269883752
1.63,1.999234438,1.63,1.798942089,1.63,1.958172083,1.63,1.784583569,1.885233045,8.02,7.917690754,8.02,8.417549133,8.02,8.108763695,8.02,8.214259148,8.164565683
5.73,6.150997162,5.73,6.038368702,5.73,6.264951706,5.73,6.235892296,6.172552467,0.95,0.989922523,0.95,0.910818577,0.95,0.933020592,0.95,0.92585808,0.939904943
0.8,0.975171089,0.8,0.807754397,0.8,1.117692232,0.8,1.003279209,0.975974232,0.95,0.941862226,0.95,0.920476556,0.95,0.960894585,0.95,1.015450835,0.959671051
0.73,1.774852753,0.73,1.468011737,0.73,1.667641401,0.73,1.351994753,1.565625161,0.95,0.850164473,0.95,1.141760468,0.95,1.075394154,0.95,0.994021952,1.015335262
1.88,1.950368881,1.88,1.807213068,1.88,1.960612297,1.88,1.805005074,1.88079983,0.95,1.041304588,0.95,0.989991069,0.95,0.951094747,0.95,1.027676582,1.002516747
0.93,0.951880813,0.93,1.146146178,0.93,0.994129002,0.93,1.042078733,1.033558682,0.95,0.979166985,0.95,0.929837346,0.95,0.942647934,0.95,0.93999809,0.947912589
4.88,5.019130707,4.88,4.766505241,4.88,5.145655632,4.88,4.703781128,4.908768177,6.1,5.921209812,6.1,6.211244106,6.1,6.349097252,6.1,5.86869812,6.087562323
1.49,1.72471869,1.49,1.660728574,1.49,1.817663789,1.49,1.640347958,1.710864753,6.47,3.774545193,6.47,4.171504974,6.47,5.060584068,6.47,5.168356895,4.543747783
9.45,8.373343468,9.45,8.033198357,9.45,8.422392845,9.45,9.18070507,8.502409935,0.97,0.894872427,0.97,1.217154622,0.97,1.616739988,0.97,1.660663128,1.347357541
4.85,4.348929405,4.85,4.238388062,4.85,4.430980682,4.85,4.192420959,4.302679777,3.12,3.211186409,3.12,3.288642883,3.12,3.454802752,3.12,3.352601767,3.326808453
4.02,3.865097046,4.02,4.141099453,4.02,4.109414577,4.02,3.791514874,3.976781488,0.9,1.328327179,0.9,0.905725598,0.9,1.184511662,0.9,1.224658251,1.160805673
4.01,4.318247795,4.01,3.896958113,4.01,4.545103073,4.01,4.599843025,4.340038002,5.98,6.696061134,5.98,5.999127388,5.98,5.637115479,5.98,6.008187294,6.085122824
6.64,6.433378696,6.64,6.172833443,6.64,6.510004044,6.64,6.842946529,6.489790678,7.44,7.529400826,7.44,7.465488911,7.44,7.577165604,7.44,7.074932098,7.41174686
0.73,1.444013357,0.73,1.519509673,0.73,1.177733541,0.73,1.213595629,1.33871305,5,5.77361393,5,5.85586977,5,6.218831062,5,6.243781567,6.023024082
4.02,3.478200674,4.02,4.25216341,4.02,4.072113991,4.02,4.22660017,4.007269561,9.7,9.071527481,9.7,9.189897537,9.7,9.278233528,9.7,9.469063759,9.252180576
0.84,1.033416867,0.84,0.794032454,0.84,1.03304553,0.84,0.748246431,0.902185321,3.12,2.620479107,3.12,2.330263138,3.12,2.774545193,3.12,2.63151598,2.589200855
4.52,4.462569714,4.52,4.368233681,4.52,4.483597755,4.52,4.416605949,4.432751775,6.06,6.055821419,6.06,5.584168434,6.06,6.430130005,6.06,7.090582848,6.290175677
4.52,4.382825851,4.52,4.353079319,4.52,4.458384514,4.52,4.518014431,4.428076029,0.95,1.176270247,0.95,0.940656066,0.95,0.992324829,0.95,0.96432972,1.018395216
1.42,1.573809981,1.42,1.800965428,1.42,1.647558451,1.42,1.738554001,1.690221965,8.6,8.49406147,8.6,8.512494087,8.6,8.730949402,8.6,8.67822361,8.603932142
6.47,6.487890244,6.47,6.541063309,6.47,6.689876556,6.47,6.274386406,6.498304129,7.44,7.841506958,7.44,7.954318047,7.44,7.905877113,7.44,7.883647442,7.89633739
0.7,0.667183638,0.7,0.415337771,0.7,0.726818085,0.7,0.995137632,0.701119282,0.95,0.908151925,0.95,1.079745173,0.95,1.182364225,0.95,1.072333336,1.060648665
0.87,0.798131824,0.87,1.04839313,0.87,1.188754797,0.87,0.782723844,0.954500899,0.88,0.95160985,0.88,0.80480057,0.88,1.110582113,0.88,1.120900631,0.996973291
6.64,5.329619408,6.64,4.429423809,6.64,5.899849892,6.64,6.251718998,5.477653027,0.95,1.007292747,0.95,0.781911969,0.95,1.125399113,0.95,1.035650134,0.987563491
0.85,0.650210142,0.85,0.922017336,0.85,0.246272087,0.85,1.189456224,0.751988947,5,5.793336868,5,5.883070946,5,6.097338676,5,6.430278778,6.051006317
2.16,2.21207428,2.16,2.376279593,2.16,1.898460865,2.16,2.14175725,2.157142997,1.1,1.601877451,1.1,1.312775254,1.1,1.391849756,1.1,0.945547998,1.313012615
