Epochs,Lowest MAE,Highest R,Smoothed Epochs,Lowest MAE Smoothed,Highest R Smoothed,"R: 8, 8","R: 9, 8","R: 10, 8","R: 8, 9","R: 9, 9","R: 8, 10","MAE: 8, 8","MAE: 9, 8","MAE: 10, 8","MAE: 8, 9","MAE: 9, 9","MAE: 8, 10"
1.0,1.8216307957967122,1.8216307957967122,1.0,1.8216307957967122,1.8216307957967122,,,,,,,,,,,,
2.0,1.6270007292429607,1.6270007292429607,2.0,1.7632417758305867,1.7632417758305867,,,,,,,,,,,,
3.0,1.529901345570882,1.529901345570882,3.0,1.6932396467526754,1.6932396467526754,,,,,,,,,,,,
4.0,1.4268204768498738,1.4268204768498738,4.0,1.613313895781835,1.613313895781835,,,,,,,,,,,,
5.0,1.3183596928914387,1.3183596928914387,5.0,1.524827634914716,1.524827634914716,,,,,,,,,,,,
6.0,1.2005802790323894,1.2005802790323894,6.0,1.4275534281500182,1.4275534281500182,,,,,,,,,,,,
7.0,1.082775354385376,1.082775354385376,7.0,1.3241200060206255,1.3241200060206255,,,,,,,,,,,,
8.0,1.001389741897583,1.001389741897583,8.0,1.2273009267837127,1.2273009267837127,,,,,,,,,,,,
9.0,0.9488066832224528,0.9488066832224528,9.0,1.1437526537153349,1.1437526537153349,,,,,,,,,,,,
10.0,0.8975167075792948,0.8975167075792948,10.0,1.069881869874523,1.069881869874523,,,,,,,,,,,,
11.0,0.8628467122713724,0.8628467122713724,11.0,1.0077713225935778,1.0077713225935778,,,,,,,,,,,,
12.0,0.8390955527623495,0.8390955527623495,12.0,0.9571685916442093,0.9571685916442093,,,,,,,,,,,,
13.0,0.8094864288965861,0.8094864288965861,13.0,0.9128639428199223,0.9128639428199223,,,,,,,,,,,,
14.0,0.7854875723520914,0.7854875723520914,14.0,0.874651031679573,0.874651031679573,,,,,,,,,,,,
15.0,0.761921246846517,0.761921246846517,15.0,0.8408320962296563,0.8408320962296563,,,,,,,,,,,,
16.0,0.7478439013163248,0.7478439013163248,16.0,0.8129356377556569,0.8129356377556569,,,,,,,,,,,,
17.0,0.7266013224919637,0.7266013224919637,17.0,0.787035343176549,0.787035343176549,,,,,,,,,,,,
18.0,0.7161460121472677,0.7161460121472677,18.0,0.7657685438677646,0.7657685438677646,,,,,,,,,,,,
19.0,0.6991553902626038,0.6991553902626038,19.0,0.7457845977862163,0.7457845977862163,,,,,,,,,,,,
20.0,0.6876339515050253,0.6876339515050253,20.0,0.7283394039018589,0.7283394039018589,,,,,,,,,,,,
,,,,,,0.8934837381045023,0.893965482711792,0.914043128490448,0.8897241552670797,0.9225895206133524,0.9111696680386862,,,,,,
,,,,,,,,,,,,0.8197934826215109,0.7914071281750997,0.7031070391337076,0.8339539170265198,0.673878808816274,0.7498238881429037
