Epochs,Lowest MAE,Highest R,Smoothed Epochs,Lowest MAE Smoothed,Highest R Smoothed,"R: 5, 5","R: 6, 5","R: 7, 5","R: 8, 5","R: 9, 5","R: 10, 5","R: 11, 5","R: 5, 6","R: 6, 6","R: 7, 6","R: 8, 6","R: 9, 6","R: 10, 6","R: 5, 7","R: 6, 7","R: 7, 7","R: 8, 7","R: 9, 7","R: 5, 8","R: 6, 8","R: 7, 8","R: 8, 8","R: 5, 9","R: 6, 9","R: 7, 9","R: 5, 10","R: 6, 10","R: 5, 11","MAE: 5, 5","MAE: 6, 5","MAE: 7, 5","MAE: 8, 5","MAE: 9, 5","MAE: 10, 5","MAE: 11, 5","MAE: 5, 6","MAE: 6, 6","MAE: 7, 6","MAE: 8, 6","MAE: 9, 6","MAE: 10, 6","MAE: 5, 7","MAE: 6, 7","MAE: 7, 7","MAE: 8, 7","MAE: 9, 7","MAE: 5, 8","MAE: 6, 8","MAE: 7, 8","MAE: 8, 8","MAE: 5, 9","MAE: 6, 9","MAE: 7, 9","MAE: 5, 10","MAE: 6, 10","MAE: 5, 11"
27.0,1.1788898557424545,1.089867040514946,27.0,1.2423090994367536,1.1778438185290736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1.1540501117706299,1.057999163866043,28.0,1.2158314031369166,1.1418904221301645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,1.1312891989946365,1.0249514728784561,29.0,1.1904687418942326,1.106808737354652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,1.1176595389842987,1.0063206106424332,30.0,1.1686259810212523,1.0766622993409865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,1.0945215821266174,0.9839219152927399,31.0,1.1463946613528617,1.0488401841265125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,1.0812547653913498,0.9586189091205597,32.0,1.126852692564408,1.0217738016247266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,1.0621399134397507,0.9430113285779953,33.0,1.1074388588270108,0.9981450597107072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,1.0462043434381485,0.921777755022049,34.0,1.089068504210352,0.9752348683041097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,1.0197648853063583,0.9113489091396332,35.0,1.068277418539154,0.9560690805547667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,1.0054984241724014,0.8989321142435074,36.0,1.049443720229128,0.938927990661389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,0.9835464954376221,0.8921193480491638,37.0,1.0296745527916762,0.9248853978777215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,0.9684600830078125,0.8673891127109528,38.0,1.0113102118565171,0.9076365123276908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,0.9526527971029282,0.860683873295784,39.0,0.9937129874304405,0.8935507206181188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,0.9267067164182663,0.8469805270433426,40.0,0.9736111061267883,0.879579662545686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,0.8997930288314819,0.8438293188810349,41.0,0.9514656829381964,0.8688545594462906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,0.8839805275201797,0.8396914303302765,42.0,0.9312201363127914,0.8601056207114863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,0.8672720193862915,0.831721842288971,43.0,0.9120357012348415,0.8515904871847317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,0.8520591855049133,0.8348424732685089,44.0,0.894042746515863,0.8465660830098649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,0.8415242731571198,0.8120086491107941,45.0,0.8782872045082399,0.8361988528401436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,0.8300362080335617,0.8003549128770828,46.0,0.8638119055658364,0.8254456708512253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,0.8206526637077332,0.7953763008117676,47.0,0.8508641330084055,0.816424859839388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,0.8137684613466263,0.7819325476884842,48.0,0.8397354315098717,0.8060771661941167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,0.8040812462568283,0.7836388498544693,49.0,0.8290391759339587,0.7993456712922224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,0.799068808555603,0.7775680124759674,50.0,0.820048065720452,0.7928123736473459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,0.7857026606798172,0.7718624621629715,51.0,0.8097444442082615,0.7865274002020335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,0.7725251764059067,0.7658066153526306,52.0,0.798578663867555,0.7803111647472126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.0,0.768605962395668,0.7563837617635727,53.0,0.7895868534259889,0.7731329438521206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.0,0.7624335885047913,0.7537002116441727,54.0,0.7814408739496296,0.7673031241897362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.0,0.7512636780738831,0.7433439940214157,55.0,0.7723877151869056,0.7601153851392402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,0.748343899846077,0.7520188391208649,56.0,0.765174570584657,0.7576864213337275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,0.746465802192688,0.7410014569759369,57.0,0.7595619400670662,0.7526809320263904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,0.7399950176477432,0.7468590885400772,58.0,0.7536918633412693,0.7509343789804964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,0.7284903675317764,0.7340756058692932,59.0,0.7461314145984215,0.7458767470471355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,0.7229387909173965,0.7402150332927704,60.0,0.7391736274941141,0.744178232920826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,0.7257317006587982,0.7278595715761185,61.0,0.7351410494435193,0.7392826345174137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,0.7100470662117004,0.7282003313302994,62.0,0.7276128544739736,0.7359579435612794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,0.7061578780412674,0.7190223783254623,63.0,0.7211763615441618,0.7308772739905343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,0.7003846019506454,0.7224892526865005,64.0,0.7149388336661069,0.7283608675993241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,0.6920823603868484,0.7184414565563202,65.0,0.7080818916823294,0.7253850442864229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,0.6866170912981033,0.7095824331045151,66.0,0.7016424515670616,0.7206442609318506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,0.6787298023700714,0.7037463188171387,67.0,0.6947686568079645,0.715574878297437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,0.6849374175071716,0.7034951001405716,68.0,0.6918192850177267,0.7119509448503774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.0,0.6760352998971939,0.698588952422142,69.0,0.6870840894815669,0.7079423471219067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,0.6755203902721405,0.7035514116287231,70.0,0.683614979718739,0.7066250664739516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,0.6626710742712021,0.6939472407102585,71.0,0.6773318080844779,0.7028217187448437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,0.6538635194301605,0.688897892832756,72.0,0.6702913214881827,0.6986445709712173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,0.6617320775985718,0.6900212317705154,73.0,0.6677235483212994,0.6960575692110068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,0.6499363929033279,0.6901832967996597,74.0,0.6623874016959079,0.6942952874876027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,0.6515052765607834,0.6829123049974442,75.0,0.6591227641553705,0.6908803927405551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.0,0.638988584280014,0.6779448240995407,76.0,0.6530825101927635,0.6869997221482508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,0.640639916062355,0.677757129073143,77.0,0.649349731953641,0.6842269442257185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.0,0.6385609209537506,0.6748806536197662,78.0,0.6461130886536739,0.6814230570439328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,0.6352166384458542,0.6725036203861237,79.0,0.642844153591328,0.67874722604659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.0,0.6294520348310471,0.6661042124032974,80.0,0.6388265179632437,0.6749543219536023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.0,0.6311185210943222,0.6649862825870514,81.0,0.6365141189025673,0.671963910143637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.0,0.6230380535125732,0.6569947153329849,82.0,0.6324712992855691,0.6674731517004413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.0,0.6180509924888611,0.6650370508432388,83.0,0.6281452072465566,0.6667423214432806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.0,0.6215334683656693,0.6679326295852661,84.0,0.6261616855822905,0.6670994138858762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.0,0.6241493672132492,0.656157374382019,85.0,0.6255579900715781,0.663816802034719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86.0,0.6155930757522583,0.6524775326251984,86.0,0.6225685157757821,0.6604150212118628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.0,0.610652931034565,0.6507531851530075,87.0,0.618993840353417,0.6575164703942062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.0,0.6114049553871155,0.643484354019165,88.0,0.6167171748635265,0.6533068354816939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.0,0.6080053076148033,0.6447644084692001,89.0,0.6141036146889096,0.6507441073779457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,0.6048502251505852,0.6453021317720413,90.0,0.6113275978274123,0.6491115146961743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
