Epochs,Lowest MAE,Highest R,Smoothed Epochs,Lowest MAE Smoothed,Highest R Smoothed,"R: 5, 5","MAE: 5, 5"
84.0,0.8727011531591415,0.8727011531591415,84.0,0.8749720888093511,0.8749720888093511,,
85.0,0.8610522300004959,0.8610522300004959,85.0,0.8707961311666945,0.8707961311666945,,
86.0,0.8554387539625168,0.8554387539625168,86.0,0.8661889180054412,0.8661889180054412,,
87.0,0.856145903468132,0.856145903468132,87.0,0.8631760136442485,0.8631760136442485,,
88.0,0.8558094650506973,0.8558094650506973,88.0,0.860966049066183,0.860966049066183,,
89.0,0.8486611843109131,0.8486611843109131,89.0,0.8572745896396021,0.8572745896396021,,
90.0,0.847734272480011,0.847734272480011,90.0,0.8544124944917247,0.8544124944917247,,
91.0,0.8494072258472443,0.8494072258472443,91.0,0.8529109138983806,0.8529109138983806,,
92.0,0.842655673623085,0.842655673623085,92.0,0.8498343418157919,0.8498343418157919,,
93.0,0.8471909761428833,0.8471909761428833,93.0,0.8490413321139193,0.8490413321139193,,
94.0,0.8401594310998917,0.8401594310998917,94.0,0.8463767618097111,0.8463767618097111,,
95.0,0.850853443145752,0.850853443145752,95.0,0.8477197662105234,0.8477197662105234,,
96.0,0.852902352809906,0.852902352809906,96.0,0.849274542190338,0.849274542190338,,
97.0,0.8365944027900696,0.8365944027900696,97.0,0.8454705003702576,0.8454705003702576,,
98.0,0.837714433670044,0.837714433670044,98.0,0.8431436803601935,0.8431436803601935,,
99.0,0.8295555412769318,0.8295555412769318,99.0,0.8390672386352149,0.8390672386352149,,
100.0,0.8287761807441711,0.8287761807441711,100.0,0.8359799212679018,0.8359799212679018,,
,,,,,,0.8764083087444305,
,,,,,,,0.867808923125267
