"Real for Time,0; ,None - All","Averages for Time,0; ,None","Real for Time,1; ,None - All","Averages for Time,1; ,None","Real for Time,2; ,None - All","Averages for Time,2; ,None","Real for Time,3; ,None - All","Averages for Time,3; ,None","Real for Time,4; ,None - All","Averages for Time,4; ,None","Real for Time,5; ,None - All","Averages for Time,5; ,None","Real for Time,6; ,None - All","Averages for Time,6; ,None","Real for Time,7; ,None - All","Averages for Time,7; ,None","Real for Time,8; ,None - All","Averages for Time,8; ,None","Real for Time,9; ,None - All","Averages for Time,9; ,None","Real for Time,10; ,None - All","Averages for Time,10; ,None","Real for Time,11; ,None - All","Averages for Time,11; ,None","Real for Time,12; ,None - All","Averages for Time,12; ,None","Real for Time,13; ,None - All","Averages for Time,13; ,None","Real for Time,14; ,None - All","Averages for Time,14; ,None","Real for Time,15; ,None - All","Averages for Time,15; ,None","Real for Time,16; ,None - All","Averages for Time,16; ,None","Real for Time,17; ,None - All","Averages for Time,17; ,None","Real for Time,18; ,None - All","Averages for Time,18; ,None","Real for Time,19; ,None - All","Averages for Time,19; ,None","Real for Time,20; ,None - All","Averages for Time,20; ,None","Real for Time,21; ,None - All","Averages for Time,21; ,None","Real for Time,22; ,None - All","Averages for Time,22; ,None","Real for Time,23; ,None - All","Averages for Time,23; ,None","Real for Time,24; ,None - All","Averages for Time,24; ,None","Real for Time,25; ,None - All","Averages for Time,25; ,None","Real for Time,26; ,None - All","Averages for Time,26; ,None","Real for Time,27; ,None - All","Averages for Time,27; ,None","Real for Time,28; ,None - All","Averages for Time,28; ,None","Real for Time,29; ,None - All","Averages for Time,29; ,None","Real for Time,30; ,None - All","Averages for Time,30; ,None","Real for Time,31; ,None - All","Averages for Time,31; ,None","Real for Time,32; ,None - All","Averages for Time,32; ,None","Real for Time,33; ,None - All","Averages for Time,33; ,None","Real for Time,34; ,None - All","Averages for Time,34; ,None","Real for Time,35; ,None - All","Averages for Time,35; ,None","Real for Time,36; ,None - All","Averages for Time,36; ,None","Real for Time,37; ,None - All","Averages for Time,37; ,None","Real for Time,38; ,None - All","Averages for Time,38; ,None","Real for Time,39; ,None - All","Averages for Time,39; ,None","Real for Time,40; ,None - All","Averages for Time,40; ,None","Real for Time,41; ,None - All","Averages for Time,41; ,None","Real for Time,42; ,None - All","Averages for Time,42; ,None","Real for Time,43; ,None - All","Averages for Time,43; ,None","Real for Time,44; ,None - All","Averages for Time,44; ,None","Real for Time,45; ,None - All","Averages for Time,45; ,None","Real for Time,46; ,None - All","Averages for Time,46; ,None","Real for Time,47; ,None - All","Averages for Time,47; ,None","Real for Time,48; ,None - All","Averages for Time,48; ,None","Real for Time,49; ,None - All","Averages for Time,49; ,None","Real for Time,50; ,None - All","Averages for Time,50; ,None"
6.08,6.137549996376038,6.15,6.29241943359375,0.98,1.4331168234348297,0.86,0.7990313768386841,0.95,0.9445551782846451,2.64,2.641188383102417,6.6,6.657258629798889,8.71,8.508836507797241,0.86,0.881152406334877,0.93,0.8138925284147263,1.3,1.295617789030075,0.95,0.9196029752492905,7.12,7.171541333198547,4.51,4.504444241523743,0.81,0.7720639854669571,0.95,0.9486377835273743,4.01,4.346107125282288,0.82,0.753563404083252,0.8,0.755522221326828,0.76,0.7830006182193756,3.6,3.5093348622322083,3.12,3.075148820877075,4.01,4.34699547290802,4.39,4.532070994377136,1.88,1.977651298046112,2.62,1.496373862028122,7.89,7.706496715545654,3.67,4.030278444290161,4.32,4.526083946228027,0.82,0.7543952465057373,4.33,4.259902119636536,0.8,0.765202060341835,0.56,0.6630982458591461,0.95,0.9276510328054428,0.7,0.6696271747350693,7.94,7.913557648658752,0.95,0.9327625334262848,7.04,6.547770619392395,0.68,0.6580095291137695,0.7,0.6709291487932205,4.51,4.5117892026901245,3.2,3.160466969013214,0.86,0.8526698052883148,4.5,4.51913321018219,0.95,0.9222735017538071,7.89,7.7010276317596436,6.69,6.678831696510315,0.82,0.7556863576173782,4.29,3.9707823395729065,0.95,0.9118163138628006,5.0,4.923821449279785
0.95,0.9179313033819199,4.32,4.5043686628341675,4.39,4.516746520996094,1.05,0.9351134300231934,1.88,1.987115889787674,0.95,0.9556479454040527,0.95,0.9114583283662796,3.6,3.5044039487838745,0.97,0.9864347726106644,0.95,0.9194182604551315,0.95,0.9334362894296646,0.84,0.8120575100183487,7.44,7.960726857185364,3.12,3.0694046020507812,3.64,3.6612457036972046,0.95,0.919087216258049,3.67,4.139991879463196,0.95,0.9424394369125366,0.95,0.9340610802173615,4.01,4.346369981765747,5.52,6.020840406417847,0.95,0.8969852030277252,3.62,3.552677094936371,4.35,4.310788154602051,4.33,4.286185145378113,6.26,6.8031511306762695,0.95,0.9377464652061462,7.62,7.047314882278442,3.4,3.4675217866897583,1.93,1.7923471927642822,1.93,1.791663408279419,3.37,3.590064823627472,0.93,0.8142281621694565,3.04,3.0191650986671448,0.94,0.8070663660764694,0.95,0.9272430688142776,0.95,0.9443637430667877,0.95,0.9570028185844421,0.85,0.8151831924915314,6.6,6.609791994094849,0.95,0.9110861718654633,6.47,6.246057033538818,0.68,0.6541696935892105,2.62,1.5707989037036896,1.93,1.8060141801834106,0.56,0.6668657958507538,3.6,3.377387225627899,0.95,0.9225973039865494,2.48,2.6727914810180664,3.37,3.62055903673172,4.43,4.510537266731262
2.28,1.9167585968971252,0.82,0.7537931650876999,7.62,6.971141338348389,7.89,7.757241368293762,4.67,4.527576565742493,7.39,7.471939206123352,1.04,0.9810253083705902,1.42,1.138740211725235,3.2,3.168682277202606,4.33,4.318012952804565,7.44,7.963162779808044,7.04,6.6165831089019775,6.41,6.461448907852173,5.79,6.3717886209487915,7.44,7.959846258163452,0.6,0.623088002204895,0.73,1.1819713711738586,7.89,7.710778594017029,0.88,0.8826633989810944,0.95,0.9243567436933517,5.73,5.883710622787476,8.39,8.02389109134674,0.73,0.774034708738327,0.78,0.8206615447998047,4.5,4.514907717704773,5.98,5.966061234474182,0.78,0.8182076215744019,1.88,1.9751203060150146,7.94,7.905856251716614,0.76,0.78415147960186,7.62,7.025327801704407,0.95,0.91785828769207,3.37,3.590253472328186,1.3,1.2825983762741089,7.89,7.7038795948028564,3.67,4.019831538200378,0.95,0.9348198473453522,0.95,0.9442763775587082,0.77,0.7038952857255936,0.83,0.9342986345291138,0.95,0.9365425705909729,4.7,4.601361632347107,4.54,4.343590617179871,4.88,4.451114296913147,0.86,0.856143593788147,0.95,0.9065691828727722,0.95,0.9235315322875977,0.84,0.8128714710474014,1.38,0.9699523001909256,0.7,0.8049203306436539,3.67,4.053417503833771
2.79,2.914218783378601,5.73,5.838414788246155,0.83,0.9580273777246475,0.95,0.9584644287824631,0.95,0.9115169942378998,0.94,0.800582617521286,7.4,6.793826341629028,4.5,4.508788585662842,4.36,4.477917313575745,6.28,6.409808278083801,6.26,6.830485820770264,0.86,1.4304360747337341,0.95,0.9294069558382034,2.12,2.166093945503235,0.84,0.7788577973842621,4.67,4.522070288658142,0.93,0.7989174723625183,0.95,0.9336104691028595,0.95,0.9141781032085419,0.95,0.9445125311613083,0.81,0.7614565342664719,4.54,4.4446927309036255,0.95,0.9233617782592773,6.55,6.156593441963196,0.97,0.9790894240140915,4.38,4.519184708595276,2.62,2.56568306684494,4.54,4.398208379745483,0.95,0.9622496664524078,0.87,0.8207536190748215,0.73,1.1859910488128662,7.94,7.909187912940979,7.94,7.869482517242432,0.7,0.7904721945524216,0.9,0.758622020483017,4.36,4.484323501586914,0.95,0.9077882170677185,0.94,0.8072371929883957,7.44,7.916927337646484,0.95,0.8998425453901291,2.64,2.6493477821350098,0.95,0.9366150498390198,6.08,5.961665868759155,0.84,0.8101280629634857,0.95,0.923750028014183,3.75,3.883413016796112,2.81,3.205740988254547,5.59,6.539686799049377,0.95,0.9055561125278473,4.85,4.294376015663147,3.2,3.188482642173767
2.62,2.533111870288849,7.44,8.036263346672058,1.05,0.935473844408989,6.06,6.043639302253723,3.75,3.8051623702049255,0.95,0.9561850279569626,0.95,0.9202967435121536,1.39,1.7154712677001953,0.95,0.9408599436283112,2.16,1.9165781736373901,0.83,0.9512059986591339,3.2,3.1657156944274902,1.38,0.9947062879800797,0.9,0.7543378919363022,6.26,6.832306146621704,0.81,0.7632344961166382,7.62,7.5872108936309814,0.95,0.9515423029661179,8.01,8.112924575805664,1.38,0.968188926577568,0.95,0.8998613506555557,4.39,4.531374454498291,1.05,0.9427997320890427,0.86,0.7919106483459473,0.95,0.9082927852869034,0.95,0.9378827214241028,6.6,6.628573417663574,4.38,4.519664764404297,7.89,7.7057636976242065,4.32,4.526288986206055,6.41,6.392865896224976,7.04,6.577124238014221,1.1,1.0153048932552338,7.51,7.505503535270691,4.89,4.6332807540893555,2.28,1.9693951606750488,0.73,0.7734728902578354,2.81,3.1962406635284424,0.95,0.9436608403921127,0.78,0.8075744211673737,2.12,2.1413551568984985,0.8,0.7720664292573929,4.39,4.536542892456055,2.72,2.3968963027000427,6.08,5.958672642707825,2.79,2.9640910029411316,0.95,0.935077354311943,0.68,0.6493694931268692,0.83,0.9299774467945099,4.38,4.523913741111755,2.64,2.6494624614715576
4.39,4.498764634132385,7.89,7.802522540092468,0.95,0.888468474149704,3.6,3.495410144329071,7.62,7.025082468986511,0.95,0.930203303694725,0.84,0.8081884384155273,6.41,6.4553433656692505,7.12,7.164941906929016,0.95,0.9372645020484924,0.95,0.9418017566204071,0.95,0.944584846496582,4.1,4.0869176387786865,2.64,2.6379942297935486,0.6,0.6596159785985947,0.94,0.7902424782514572,0.95,0.8985356390476227,0.95,0.9225283563137054,0.95,0.9258699715137482,0.93,0.8041697293519974,7.44,7.956284999847412,5.06,4.526201128959656,0.95,0.921708270907402,4.7,4.609571695327759,0.98,1.1935319304466248,6.41,6.406646132469177,3.6,3.5088398456573486,1.49,1.6187691390514374,3.04,3.024643063545227,0.84,0.7955343127250671,0.95,0.9493559300899506,2.28,1.9669296145439148,7.62,7.019732117652893,7.39,7.422318458557129,0.98,1.1846089363098145,0.95,0.9377411007881165,0.95,0.9273661077022552,4.33,4.266699969768524,0.95,0.9260409623384476,7.53,6.988880157470703,0.86,0.8065376728773117,1.04,0.9805908054113388,4.29,3.975630462169647,3.1,2.9979418516159058,6.47,7.206984162330627,2.62,1.5846900939941406,6.64,6.635732889175415,0.95,0.9443735182285309,0.95,0.9294954687356949,0.93,0.8104098737239838,1.5,1.5039081275463104
0.85,0.8271667510271072,1.38,1.0057189017534256,3.2,3.1907418966293335,0.95,0.9185843914747238,0.76,0.8764990270137787,0.95,0.9468635767698288,7.94,7.897968292236328,0.95,0.9302908629179001,0.94,0.802259087562561,0.95,0.9412611126899719,1.1,1.05548457801342,0.83,0.9504717439413071,0.95,0.9459315687417984,4.83,5.32362425327301,4.89,4.673012971878052,0.95,0.9462053775787354,7.1,7.075677752494812,4.67,4.616360902786255,1.5,1.4767840802669525,8.01,8.112337827682495,5.79,6.369697451591492,7.44,7.955628037452698,2.64,2.6410633325576782,0.83,0.9420190155506134,0.95,0.901368573307991,0.95,0.9301268458366394,0.82,0.802988275885582,0.95,0.951436460018158,1.42,1.110593542456627,7.53,7.0254199504852295,0.78,0.8149354010820389,4.35,4.317473292350769,0.73,0.7763336002826691,7.04,6.567183494567871,6.48,6.354455351829529,2.62,1.5222125053405762,0.77,0.7027319669723511,0.85,0.8131162971258163,4.1,3.9268208146095276,5.0,4.957327246665955,4.1,3.9207329154014587,5.73,5.78898561000824,4.89,4.631109356880188,1.63,1.780466765165329,0.95,0.9169149994850159,2.62,2.5690826177597046,7.04,6.532419919967651,7.1,7.036491751670837,6.26,6.832229018211365,0.95,0.9171207100152969,0.95,0.9094222635030746
7.62,7.523189067840576,0.95,0.9524758011102676,0.95,0.9013673216104507,3.95,3.9149253368377686,0.95,0.9333646446466446,6.6,6.658640384674072,0.95,0.9450205564498901,0.95,0.9241958111524582,2.62,2.601881444454193,0.95,0.9435974657535553,4.36,4.478711009025574,0.95,0.9286381602287292,2.81,3.163348913192749,4.39,4.527729868888855,0.94,0.7957663834095001,4.31,4.526907563209534,4.39,4.5293474197387695,6.61,6.71219801902771,2.72,2.397865355014801,0.95,0.9104638993740082,0.68,0.656824916601181,5.1,5.086819887161255,0.95,0.9230816811323166,2.62,2.5708773136138916,0.95,0.9413716495037079,2.16,1.9246768951416016,8.71,8.533400535583496,2.62,2.5644960403442383,4.31,4.531077861785889,5.1,5.082719683647156,0.97,0.9787211567163467,0.95,0.9214578568935394,0.6,0.6258090287446976,0.84,0.7934412211179733,0.95,0.9165672957897186,0.95,0.9002685099840164,4.43,4.507592797279358,2.62,2.562970757484436,7.89,7.702767014503479,0.95,0.9144161343574524,3.67,4.024686813354492,0.77,0.7056165933609009,0.95,0.8995193839073181,0.87,0.8222604990005493,0.95,0.9443511366844177,0.93,0.8113111108541489,0.82,0.809673547744751,4.43,4.509892225265503,0.86,1.3615235090255737,8.84,8.929893255233765,4.83,5.3034549951553345
4.51,4.474727272987366,1.39,1.7289448380470276,3.75,3.8509307503700256,4.85,4.257063388824463,4.35,4.27739691734314,3.75,3.815547525882721,9.45,9.149335384368896,0.95,0.932718425989151,7.94,7.8913493156433105,0.95,0.9298993796110153,0.73,1.2053725719451904,0.8,0.7839720994234085,0.95,0.9418052732944489,4.35,4.279569506645203,0.95,0.932850643992424,8.84,8.966437101364136,0.86,0.8448457717895508,6.6,6.641558885574341,7.4,6.792962312698364,0.7,0.7919837981462479,4.29,3.9926557540893555,4.88,4.533825516700745,3.12,3.07592236995697,0.95,0.9233901798725128,4.54,4.439489841461182,0.95,0.9215078353881836,0.86,0.8439826518297195,0.8,0.7598298937082291,3.1,2.9915775060653687,0.95,0.9514418542385101,7.53,7.024908781051636,0.95,0.9180315434932709,0.95,0.9427182078361511,0.73,1.189224511384964,4.29,3.9818143248558044,4.67,4.622696757316589,4.32,4.527925968170166,3.6,3.369684338569641,0.86,1.2843887507915497,0.95,0.9061514437198639,5.1,5.075979232788086,0.68,0.6551295816898346,3.75,3.828843593597412,7.04,6.534410357475281,0.95,0.9387401789426804,0.95,0.9375720322132111,2.62,2.570254862308502,0.85,0.8207449167966843,2.62,2.5727814435958862,8.39,7.977379679679871,3.04,3.0311155915260315
4.67,4.555891633033752,0.95,0.9389536678791046,7.94,7.692744612693787,0.95,0.9141575545072556,7.62,7.598824501037598,0.95,0.919729620218277,0.95,0.9417026489973068,4.51,4.501357913017273,7.04,6.6150641441345215,0.95,0.9296004772186279,0.95,0.9565199911594391,6.55,6.16175377368927,4.42,4.518682479858398,7.94,7.883710622787476,0.88,0.8891371190547943,1.63,1.8034409582614899,8.84,8.966121673583984,4.51,4.505985140800476,3.62,3.5541797280311584,4.83,5.337043762207031,2.28,1.9610482454299927,0.95,0.9031893163919449,3.64,3.6601667404174805,0.98,1.2033977210521698,0.7,0.666803240776062,0.95,0.9472688585519791,4.7,4.60985267162323,5.27,5.213191747665405,4.5,4.515941381454468,0.95,0.9177840352058411,1.88,1.9721730053424835,0.84,0.8070922195911407,4.83,5.299045443534851,0.95,0.916198119521141,0.95,0.9386281967163086,0.95,0.9193560183048248,1.42,1.1103869825601578,2.71,2.669983148574829,4.31,4.533373236656189,3.04,3.024471640586853,0.95,0.9487295895814896,6.6,6.606943249702454,5.1,5.074727296829224,0.95,0.9332700073719025,4.67,4.50346565246582,4.31,4.53472375869751,4.75,4.225698828697205,0.95,0.9355541169643402,0.95,0.9105659127235413,0.95,0.9410440623760223,2.71,2.681456446647644
