SC Optimal MAE NN: R,SC Optimal MAE NN: MAE,0,Time Optimal MAE NN: R,Time Optimal MAE NN: MAE,Time SC: 0;  Optimal MAE NN: R,Time SC: 1;  Optimal MAE NN: R,Time SC: 0;  Optimal MAE NN: MAE,Time SC: 1;  Optimal MAE NN: MAE,Time Increasing: 0;  Optimal MAE NN: R,Time Increasing: 1;  Optimal MAE NN: R,Time Increasing: 0;  Optimal MAE NN: MAE,Time Increasing: 1;  Optimal MAE NN: MAE,Day 1;  Optimal MAE NN: R,Day 2;  Optimal MAE NN: R,Day 3;  Optimal MAE NN: R,Day 1;  Optimal MAE NN: MAE,Day 2;  Optimal MAE NN: MAE,Day 3;  Optimal MAE NN: MAE
,,41,0.990030602,0.236489963,0.99141109,0.989140078,0.217340648,0.256594356,0.983516037,0.99209176,0.32486023,0.211399365,0.989015833,0.997683704,0.997294605,0.240327056,0.189026549,0.217242394
,,42,0.990012348,0.236713011,0.99138853,0.989133343,0.21643135,0.259604268,0.983535722,0.992055699,0.32977771,0.201917104,0.988971263,0.997729659,0.997709662,0.240826864,0.198339529,0.163860554
,,43,0.989978045,0.239006914,0.991229355,0.989194348,0.212278649,0.262191974,0.983683601,0.991979957,0.328211576,0.206023511,0.988941997,0.997593626,0.997804642,0.24287042,0.210053291,0.131545341
,,44,0.989943668,0.242071681,0.991304621,0.98907344,0.212137744,0.267086431,0.983637318,0.991967678,0.334959239,0.207197964,0.988932222,0.997405484,0.997690231,0.245392665,0.218715023,0.214439884
,,45,0.989757165,0.248711538,0.991002396,0.988979906,0.221809849,0.273626879,0.983894959,0.99168089,0.345023885,0.214468706,0.988774687,0.997079119,0.997418374,0.251139119,0.232810024,0.175051264
,,46,0.98962833,0.25632371,0.990822867,0.988902465,0.225844707,0.282700069,0.984162539,0.991468385,0.350651056,0.224135477,0.988704875,0.996621087,0.99697046,0.257572059,0.247270726,0.259083796
,,47,0.989335969,0.265777707,0.990445405,0.988693029,0.238547936,0.290517695,0.983969033,0.99120903,0.361574478,0.234606992,0.988472596,0.996079683,0.996283069,0.266040646,0.263260126,0.258150544
,,48,0.989053756,0.27601622,0.990270436,0.988364562,0.247358128,0.307913154,0.98388344,0.990914509,0.383009605,0.238356635,0.988284111,0.995548546,0.995376319,0.274974197,0.283440907,0.279731203
,,49,0.988706499,0.286888197,0.989927575,0.988042101,0.257153563,0.314247578,0.983996212,0.990489572,0.387875415,0.255375441,0.98803784,0.994958639,0.99456884,0.28485892,0.30244799,0.289316371
,,50,0.988178521,0.298633926,0.989529267,0.987453073,0.267403562,0.325346477,0.983682364,0.989943013,0.4086641,0.258621734,0.987653583,0.994288921,0.993320793,0.2951148,0.316939108,0.330979586
