SC: R,SC: MAE,SC Test: R,SC Test: MAE,Time,Time:  R,Time:  MAE,Time: Test R,Time: Test MAE,Time SC: 0;: R,Time SC: 1: R,Time SC: 0 : MAE,Time SC: 1 : MAE,Time SC: 0; Test R,Time SC: 1; Test R,Time SC: 0; Test MAE,Time SC: 1; Test MAE,Time Increasing: 0 : R,Time Increasing: 1 : R,Time Increasing: 0 : MAE,Time Increasing: 1 : MAE,Time Increasing: 0; Test R,Time Increasing: 1; Test R,Time Increasing: 0; Test MAE,Time Increasing: 1; Test MAE,Day 1 : R,Day 2 : R,Day 3 : R,Day 1 : MAE,Day 2 : MAE,Day 3 : MAE
0.9832520037889481,0.2708616778254509,0.9750352501869202,0.3218633085489273,1,0.913762167096138,0.6509760320186615,0.9723226577043533,0.3621559143066406,0.951253667473793,0.8880801349878311,0.5119604989886284,0.7971206307411194,0.9766046404838562,0.9709670096635818,0.32342875748872757,0.39860498905181885,0.801933079957962,0.9445988833904266,0.9231434613466263,0.5642413944005966,0.9788656979799271,0.9705872684717178,0.27155616506934166,0.4015470966696739,0.9183485060930252,0.9572067856788635,0.8348317742347717,0.6031443178653717,0.9025889784097672,1.4017459452152252
0.9732786566019058,0.36601539701223373,0.9777072817087173,0.31336721777915955,2,0.9129484444856644,0.6251504868268967,0.9854773283004761,0.28156033903360367,0.9552607089281082,0.8826567232608795,0.49538853019475937,0.7615668773651123,0.980904221534729,0.9887451380491257,0.2983165308833122,0.27051646262407303,0.8028341978788376,0.9427813291549683,0.915708988904953,0.5325548946857452,0.9876682311296463,0.9850094169378281,0.2665639892220497,0.28802935779094696,0.9223261475563049,0.9376996457576752,0.749621108174324,0.5621340572834015,0.8918693363666534,1.6672545373439789
,,,,3,0.9186465889215469,0.6137813776731491,0.9751145392656326,0.37953247874975204,0.9550856053829193,0.8921536803245544,0.4827617257833481,0.7515199333429337,0.9754559099674225,0.9778773933649063,0.4326446205377579,0.32490283995866776,0.8051513284444809,0.9488728940486908,0.9195712357759476,0.516331858932972,0.9714067429304123,0.9766664355993271,0.43750569969415665,0.3583499491214752,0.9224499613046646,0.9468822628259659,0.8632788211107254,0.562850832939148,1.0266537219285965,1.2945874631404877
,,,,4,0.9300694614648819,0.548983097076416,0.9802166670560837,0.31133638322353363,0.9640186727046967,0.9048177599906921,0.42370855808258057,0.6806819885969162,0.9866649955511093,0.9773480892181396,0.23157620802521706,0.3862626254558563,0.8107043504714966,0.9620878398418427,0.869754359126091,0.44675929844379425,0.9837972074747086,0.9790788292884827,0.18336516618728638,0.34086819738149643,0.9287817627191544,0.964624434709549,0.9521790146827698,0.5212585479021072,0.9453906565904617,0.7791398763656616
,,,,5,0.9348435699939728,0.5135517865419388,0.982519268989563,0.2900101915001869,0.9681540876626968,0.910246953368187,0.38953467458486557,0.6439287215471268,0.9811281114816666,0.9855692982673645,0.3248203694820404,0.2383950985968113,0.8196352571249008,0.9658620655536652,0.7869427055120468,0.4264272302389145,0.9894707947969437,0.9793066531419754,0.2703339569270611,0.29757796972990036,0.9322871267795563,0.9670724421739578,0.9637721478939056,0.49194949120283127,0.8729124069213867,0.6515754163265228
,,,,6,0.9596781581640244,0.45117680728435516,0.9860744476318359,0.25504421070218086,0.969532921910286,0.9530123919248581,0.3588336110115051,0.5482555329799652,0.9842413812875748,0.9877284616231918,0.2754664272069931,0.24124543368816376,0.9234717786312103,0.9693578779697418,0.6293662190437317,0.39439114928245544,0.992799386382103,0.9846550822257996,0.2020859494805336,0.27346449345350266,0.9587544351816177,0.9716520011425018,0.9657030552625656,0.43357688933610916,0.6743732392787933,0.6205601096153259
,,,,7,0.9683160930871964,0.41164156049489975,0.9907351136207581,0.25144774839282036,0.9720733612775803,0.9663963913917542,0.34788550436496735,0.478667177259922,0.9879618883132935,0.9943931847810745,0.29470205307006836,0.2023482695221901,0.9520123153924942,0.9725060611963272,0.5237461626529694,0.37591591477394104,0.9963779002428055,0.9892836660146713,0.18638716265559196,0.2666963189840317,0.9679684638977051,0.9715408831834793,0.9692915230989456,0.3963870033621788,0.5807621479034424,0.5783610790967941
,,,,8,0.9707013964653015,0.4026505798101425,0.9805918335914612,0.38367170095443726,0.9729965478181839,0.9696162194013596,0.35650622844696045,0.45116129517555237,0.9708369672298431,0.9864730536937714,0.4117218255996704,0.35857418179512024,0.9551199078559875,0.9747108817100525,0.5078887939453125,0.36911312490701675,0.9919886738061905,0.9770278781652451,0.2795196622610092,0.42100919783115387,0.9701566398143768,0.9715108126401901,0.9742817580699921,0.39131922274827957,0.5367771536111832,0.5195379182696342
,,,,9,0.9734619855880737,0.3906519263982773,0.9730855971574783,0.3432334065437317,0.9758165627717972,0.9724681675434113,0.3493054434657097,0.43411872535943985,0.9802002906799316,0.9675526916980743,0.31088443845510483,0.3765338361263275,0.9579887688159943,0.9775336533784866,0.49930209666490555,0.35602712631225586,0.9789700657129288,0.9726301580667496,0.23893120512366295,0.38004597276449203,0.9729442596435547,0.9744808524847031,0.9746831208467484,0.3814600184559822,0.4812244474887848,0.5003852769732475
,,,,10,0.9763998836278915,0.369555301964283,0.9851126819849014,0.27569857984781265,0.9791121631860733,0.9750051945447922,0.3269202560186386,0.41437675803899765,0.9835491180419922,0.9873215854167938,0.29608652740716934,0.25799327343702316,0.9615392535924911,0.9803758263587952,0.48662615567445755,0.3322470039129257,0.9842532724142075,0.9855076372623444,0.2698073014616966,0.2778511680662632,0.9761423617601395,0.9749419391155243,0.9749706387519836,0.35868722200393677,0.4734259471297264,0.5019321292638779
