SC: R,SC: MAE,SC Test: R,SC Test: MAE,Time,Time:  R,Time:  MAE,Time: Test R,Time: Test MAE,Time SC: 0;: R,Time SC: 1: R,Time SC: 0 : MAE,Time SC: 1 : MAE,Time SC: 0; Test R,Time SC: 1; Test R,Time SC: 0; Test MAE,Time SC: 1; Test MAE,Time Increasing: 0 : R,Time Increasing: 1 : R,Time Increasing: 0 : MAE,Time Increasing: 1 : MAE,Time Increasing: 0; Test R,Time Increasing: 1; Test R,Time Increasing: 0; Test MAE,Time Increasing: 1; Test MAE,Day 1 : R,Day 2 : R,Day 3 : R,Day 1 : MAE,Day 2 : MAE,Day 3 : MAE
0.9823995381593704,0.2878701761364937,0.9773744642734528,0.3269597440958023,1,0.8990705162286758,0.7094674408435822,0.9815763235092163,0.3312261700630188,0.9352495670318604,0.8750864565372467,0.567999929189682,0.8581896424293518,0.9879806190729141,0.9771409779787064,0.3045955039560795,0.3513790890574455,0.7818498760461807,0.9298559725284576,1.016922727227211,0.6114871650934219,0.9851875156164169,0.98137466609478,0.32590120285749435,0.3334256112575531,0.9066571444272995,0.9255952537059784,0.738157331943512,0.6473064869642258,0.9916057884693146,1.7218466401100159
0.9711320400238037,0.36964914202690125,0.9725777804851532,0.3423348590731621,2,0.9076638519763947,0.6542456150054932,0.9439269453287125,0.3737432286143303,0.9459445178508759,0.8817526698112488,0.5161739140748978,0.799397885799408,0.9898383617401123,0.9067154377698898,0.2640070468187332,0.48883239179849625,0.7844071835279465,0.941262885928154,0.9593969583511353,0.5569995790719986,0.9896308481693268,0.929343044757843,0.2195711601525545,0.4318736717104912,0.9124809354543686,0.9095730483531952,0.837239071726799,0.6003960520029068,1.1135231256484985,1.3554642498493195
,,,,3,0.9172240346670151,0.6096410304307938,0.9851977080106735,0.2809883579611778,0.9590476900339127,0.888748362660408,0.4516836777329445,0.775698721408844,0.9867506623268127,0.9847002029418945,0.26527443155646324,0.29628878086805344,0.7873397171497345,0.9532172530889511,0.9361371248960495,0.5055927932262421,0.9772647619247437,0.9883576780557632,0.3122362643480301,0.27038640156388283,0.9194425791501999,0.9545246958732605,0.8866222351789474,0.5596623420715332,1.0956731289625168,1.2115517854690552
,,,,4,0.92380191385746,0.5679002702236176,0.9818771630525589,0.30848847329616547,0.96156145632267,0.8984634578227997,0.4381580948829651,0.7042958438396454,0.9861387759447098,0.9787729382514954,0.27175378054380417,0.3487780839204788,0.7922707051038742,0.9603253901004791,0.9101148098707199,0.458842895925045,0.9940914213657379,0.9792461395263672,0.30836864188313484,0.3085102438926697,0.9238177090883255,0.95126111805439,0.9228653013706207,0.528742253780365,1.0168578624725342,0.9837319701910019
,,,,5,0.9267235845327377,0.5479475408792496,0.9702021926641464,0.40501123666763306,0.9626182913780212,0.9030767232179642,0.43248873203992844,0.6693272888660431,0.968120887875557,0.9734327495098114,0.44117578864097595,0.36408817768096924,0.7992793768644333,0.9623759984970093,0.8682936280965805,0.4458592161536217,0.9902994930744171,0.9650840908288956,0.25391217693686485,0.4393519088625908,0.9256821125745773,0.9475535005331039,0.9346194863319397,0.5153738632798195,0.9165734201669693,0.8978177607059479
,,,,6,0.9538684338331223,0.4858422353863716,0.9872907847166061,0.24222379177808762,0.9650122076272964,0.9486127644777298,0.41279736161231995,0.5626329854130745,0.9950928092002869,0.9772314578294754,0.19407250359654427,0.2955806106328964,0.9101007580757141,0.9662796258926392,0.7037452757358551,0.41640062630176544,0.9910742044448853,0.987049400806427,0.23472249135375023,0.24481045454740524,0.9539220184087753,0.9623768776655197,0.9549929648637772,0.46345602720975876,0.7642292529344559,0.7057955116033554
,,,,7,0.9647141993045807,0.44045111536979675,0.9174940437078476,0.4768706038594246,0.9696594923734665,0.963518425822258,0.3946940451860428,0.4885546565055847,0.983227014541626,0.8749303966760635,0.3385656476020813,0.664965346455574,0.9500889033079147,0.9690617620944977,0.5668034479022026,0.4001849591732025,0.9599275588989258,0.9074198305606842,0.4818534031510353,0.47532040625810623,0.9649202078580856,0.9661170095205307,0.9665287435054779,0.4244375228881836,0.6440873295068741,0.5941114276647568
,,,,8,0.9677610695362091,0.4226067438721657,0.9660219699144363,0.3574198782444,0.9717025011777878,0.9668460190296173,0.393557645380497,0.4531455785036087,0.9453162550926208,0.9859450608491898,0.4358844682574272,0.28107596188783646,0.9530229270458221,0.9718822091817856,0.532431997358799,0.38760749995708466,0.9385205656290054,0.9777884036302567,0.5226116999983788,0.30727236717939377,0.9673261642456055,0.9670064747333527,0.9742999374866486,0.4125710651278496,0.5567102134227753,0.5136000216007233
,,,,9,0.9712647050619125,0.40352336317300797,0.9818102270364761,0.28927168622612953,0.9748002886772156,0.9700234234333038,0.37884387373924255,0.42946843802928925,0.974555104970932,0.9942576289176941,0.37242885679006577,0.19388551265001297,0.9587106108665466,0.9747296869754791,0.49830925464630127,0.3733168765902519,0.9929377287626266,0.9781973659992218,0.2749280221760273,0.2943185418844223,0.9710118919610977,0.9654366075992584,0.9757623076438904,0.3938554674386978,0.5372983813285828,0.48742900788784027
,,,,10,0.9751065671443939,0.3776749223470688,0.9800152778625488,0.33297231048345566,0.9779927283525467,0.9734967797994614,0.34830234944820404,0.408553808927536,0.9819712936878204,0.9800180941820145,0.2911684066057205,0.3685056194663048,0.9629622846841812,0.9785331934690475,0.4756781831383705,0.34644313156604767,0.960898369550705,0.9873043894767761,0.4448031857609749,0.30212239921092987,0.9750017672777176,0.9666497558355331,0.9777981340885162,0.3668747618794441,0.5347963944077492,0.4651242196559906
,,,,11,0.9778688699007034,0.357616163790226,0.9787920117378235,0.3034326359629631,0.9802795797586441,0.9762339442968369,0.32379312068223953,0.3931736722588539,0.9803959727287292,0.9768902659416199,0.28673969581723213,0.32258040085434914,0.965996190905571,0.9814218580722809,0.46149390935897827,0.324512243270874,0.9615252166986465,0.9867514222860336,0.590699203312397,0.24692117050290108,0.9776817560195923,0.9721119403839111,0.9792253226041794,0.3462969437241554,0.504502922296524,0.46382028609514236
,,,,12,0.9801660031080246,0.34336281567811966,0.9627944231033325,0.3872690349817276,0.9821687042713165,0.978833019733429,0.3142862170934677,0.37393055856227875,0.968360185623169,0.9586668610572815,0.3323444351553917,0.4409453645348549,0.969312846660614,0.9835266023874283,0.4392531216144562,0.31280437111854553,0.9853282272815704,0.9587223827838898,0.39998818933963776,0.3844027668237686,0.979940801858902,0.9761638641357422,0.9810493886470795,0.3316635712981224,0.48555105179548264,0.46101198345422745
,,,,13,0.9815810918807983,0.33083176612854004,0.9790081828832626,0.3446348309516907,0.9835120439529419,0.9804534763097763,0.3022696301341057,0.3608585447072983,0.977992981672287,0.9805327206850052,0.3484382629394531,0.3397941216826439,0.9711154401302338,0.9850302040576935,0.4351070001721382,0.2976011708378792,0.9768160283565521,0.9804514497518539,0.3455668166279793,0.34440183639526367,0.9813606590032578,0.979296013712883,0.9807492941617966,0.31908638030290604,0.46624844521284103,0.4549434408545494
,,,,14,0.9833913892507553,0.3138432800769806,0.9193262010812759,0.4035787060856819,0.9856956303119659,0.9819802939891815,0.2793399542570114,0.3501160219311714,0.9663177579641342,0.850185438990593,0.3312768116593361,0.5421573147177696,0.9733998030424118,0.9868423044681549,0.4305511638522148,0.27665068209171295,0.9780038446187973,0.9044959098100662,0.2817952409386635,0.4426413029432297,0.9831886291503906,0.9808512181043625,0.982750877737999,0.3033515214920044,0.44577277451753616,0.4157359153032303
,,,,15,0.9847284704446793,0.29904813319444656,0.9729821979999542,0.3837584927678108,0.9871209561824799,0.9831621050834656,0.2626035213470459,0.33736173808574677,0.9730783849954605,0.9734310358762741,0.3838213235139847,0.3836759999394417,0.9753289073705673,0.988054096698761,0.4223177805542946,0.259764414280653,0.9611131995916367,0.9793282151222229,0.4455812945961952,0.3608611524105072,0.9846230447292328,0.9817895442247391,0.9837309569120407,0.2889118865132332,0.4354652017354965,0.3901594802737236
,,,,16,0.9856609404087067,0.28770259767770767,0.9860426336526871,0.3372724875807762,0.9881999790668488,0.9839615821838379,0.2517758943140507,0.32547175884246826,0.9870033860206604,0.98503078520298,0.308802992105484,0.3752318546175957,0.9761579185724258,0.9890464842319489,0.41019413620233536,0.24866686388850212,0.9876268655061722,0.9857691079378128,0.3021748699247837,0.34721682220697403,0.9855259507894516,0.9836118370294571,0.985057920217514,0.2785640060901642,0.4100659415125847,0.3703593388199806
,,,,17,0.9862291514873505,0.2783164009451866,0.9820526540279388,0.35294680297374725,0.9887257218360901,0.9845426082611084,0.24251296743750572,0.31595586985349655,0.9759753197431564,0.9892037361860275,0.4023158922791481,0.2887669838964939,0.9766253232955933,0.9896176904439926,0.3988480791449547,0.239905197173357,0.9887187331914902,0.9810831546783447,0.28216129913926125,0.37431600689888,0.9860246777534485,0.985545814037323,0.9859968572854996,0.26983313634991646,0.38442137837409973,0.36116834729909897
,,,,18,0.9867006689310074,0.27283036708831787,0.9865380972623825,0.280505508184433,0.9892038553953171,0.9850077927112579,0.23936904966831207,0.3080076724290848,0.9846321046352386,0.989921435713768,0.3149203062057495,0.25216390937566757,0.9776766300201416,0.9898310154676437,0.383925199508667,0.2374265268445015,0.9869453310966492,0.9866890758275986,0.26607057824730873,0.2847156897187233,0.9864275306463242,0.9865557551383972,0.9872148483991623,0.26555701345205307,0.3651825934648514,0.3427370563149452
,,,,19,0.9871246963739395,0.26751767843961716,0.9833184778690338,0.28015151619911194,0.9895134121179581,0.9854934960603714,0.23718082904815674,0.29941026121377945,0.9831912219524384,0.9804112911224365,0.28943614661693573,0.2716861180961132,0.9790097177028656,0.9899598658084869,0.36836545169353485,0.23537934944033623,0.9895602464675903,0.9840015918016434,0.2958003543317318,0.27585576474666595,0.986829087138176,0.9876724183559418,0.987490639090538,0.26097050309181213,0.3480886071920395,0.3325396329164505
,,,,20,0.9873621165752411,0.2637636922299862,0.9880019724369049,0.28188301622867584,0.9894869774580002,0.9859020709991455,0.23851173371076584,0.29031066596508026,0.985205665230751,0.9910493195056915,0.3068777397274971,0.26105406880378723,0.9798154234886169,0.9900493919849396,0.3563044145703316,0.23427271470427513,0.9811161756515503,0.9911852031946182,0.37311555445194244,0.2519964948296547,0.9870033711194992,0.9883779138326645,0.9882737100124359,0.2579478770494461,0.33221425116062164,0.324075385928154
,,,,21,0.9875561743974686,0.260293934494257,0.969310536980629,0.35744065791368484,0.9896833747625351,0.9861087948083878,0.2368927150964737,0.28489522635936737,0.9729960858821869,0.9694076031446457,0.30216889828443527,0.43666350096464157,0.9801916927099228,0.9901802092790604,0.34945330768823624,0.23188051208853722,0.9842246323823929,0.9666236639022827,0.2587076835334301,0.3897532597184181,0.9871296584606171,0.9890016317367554,0.9891632050275803,0.255473367869854,0.31954099982976913,0.30823037773370743
,,,,22,0.9877712279558182,0.256319098174572,0.9874023348093033,0.2502688318490982,0.9900054186582565,0.9862492978572845,0.2314523346722126,0.28246110677719116,0.9916015267372131,0.9802305400371552,0.2387070581316948,0.2631152756512165,0.9803706556558609,0.9903255999088287,0.3448084890842438,0.22811918333172798,0.9915595203638077,0.9866402000188828,0.2692015953361988,0.24222243204712868,0.9873009622097015,0.9894864410161972,0.9899335652589798,0.25192176923155785,0.31080910563468933,0.2996830679476261
,,,,23,0.9879009276628494,0.25340136140584946,0.9784785956144333,0.29856471717357635,0.9901976883411407,0.9863124787807465,0.2263881340622902,0.281799852848053,0.9835520684719086,0.9737497419118881,0.26763827726244926,0.3420550003647804,0.9802443236112595,0.9904845207929611,0.3415428102016449,0.22531228512525558,0.9926851838827133,0.973673090338707,0.23985908553004265,0.3220469504594803,0.9873864650726318,0.9900012165307999,0.990502342581749,0.24928639829158783,0.30386213958263397,0.2944142818450928
,,,,24,0.9881000071763992,0.250920370221138,0.978087991476059,0.3466809317469597,0.990500196814537,0.9864382743835449,0.22170314192771912,0.28163590282201767,0.9757070243358612,0.9826133549213409,0.3683416470885277,0.32277944684028625,0.9800813347101212,0.9907476007938385,0.3426360562443733,0.2216922789812088,0.9910540729761124,0.9759951233863831,0.21826652809977531,0.37812934070825577,0.9875542521476746,0.9908267259597778,0.9906904697418213,0.24699031189084053,0.29479750990867615,0.2936219796538353
,,,,25,0.9883839935064316,0.24800043925642967,0.9649157971143723,0.3606841564178467,0.9910016357898712,0.9866065084934235,0.21700076758861542,0.2805898040533066,0.9558980762958527,0.9758338034152985,0.41521185636520386,0.3155577778816223,0.9800539910793304,0.9910835772752762,0.34409913420677185,0.21737555041909218,0.9751353859901428,0.9617398828268051,0.36353815346956253,0.3599366769194603,0.9878278970718384,0.9916127771139145,0.9908323138952255,0.24415676668286324,0.2862965539097786,0.2935405597090721
,,,,26,0.9886181652545929,0.24631087109446526,0.9581284672021866,0.3746883496642113,0.9913442879915237,0.9868354201316833,0.21430661529302597,0.2799563705921173,0.9372532814741135,0.970597431063652,0.372561015188694,0.37652023881673813,0.9802099615335464,0.991359680891037,0.34798771142959595,0.2139083705842495,0.9795616716146469,0.9556649029254913,0.3907223716378212,0.3704529330134392,0.9880551993846893,0.9920627772808075,0.9910295158624649,0.24234050512313843,0.28216149285435677,0.29638606309890747
,,,,27,0.9888854920864105,0.24572721496224403,0.9845566302537918,0.3035479933023453,0.9917186200618744,0.9870944321155548,0.21378352120518684,0.27930910140275955,0.9870986491441727,0.9825987815856934,0.2936232388019562,0.31321826577186584,0.9806782305240631,0.9915424734354019,0.3500858172774315,0.21247012168169022,0.9838011115789413,0.9863423258066177,0.3138281852006912,0.3012634888291359,0.9883498847484589,0.9926763772964478,0.9907146096229553,0.2416936419904232,0.27550721541047096,0.302033931016922
,,,,28,0.9890483468770981,0.24606000632047653,0.9822970032691956,0.2718642093241215,0.99190254509449,0.987280860543251,0.21515819057822227,0.2785465642809868,0.9854616671800613,0.9790537804365158,0.24168656393885612,0.306614201515913,0.9808889776468277,0.9916485846042633,0.3517470359802246,0.21237953752279282,0.9763494282960892,0.9847210347652435,0.32610246539115906,0.2560858018696308,0.9885236769914627,0.9926607459783554,0.9910062700510025,0.24217093735933304,0.2776333913207054,0.2980086989700794
,,,,29,0.9890624135732651,0.2470804676413536,0.980323851108551,0.34434231370687485,0.9916601181030273,0.9875187277793884,0.21899395808577538,0.27660728991031647,0.9832668304443359,0.9776852875947952,0.3399480879306793,0.3506197929382324,0.9811973124742508,0.991529256105423,0.3504931405186653,0.21412476897239685,0.9948433637619019,0.9769803583621979,0.2067713364958763,0.39019930362701416,0.988523542881012,0.9928808063268661,0.9911942929029465,0.24322836473584175,0.27948062121868134,0.297613188624382
,,,,30,0.9891317188739777,0.2483038827776909,0.9806680083274841,0.29291243851184845,0.9916618168354034,0.9876455515623093,0.22194817289710045,0.2760111801326275,0.9707217514514923,0.9865908324718475,0.27222606912255287,0.30842722952365875,0.9814821779727936,0.9914989322423935,0.3467469662427902,0.21693189442157745,0.9899190813302994,0.9780576527118683,0.29548464715480804,0.29206981882452965,0.988541767001152,0.9932606071233749,0.9917487502098083,0.2453497014939785,0.27196773514151573,0.28802623972296715
