Epochs,Lowest MAE,Smoothed Epochs,Lowest MAE Smoothed,"R: 25, 10","MAE: 25, 10"
1,1.6216501295566559,1,1.6216501295566559,0.9710371345281601,0.3563709184527397
2,1.4621091783046722,2,1.5737878441810609,,
3,1.3471635282039642,3,1.5058005493879318,,
4,1.172994539141655,4,1.4059587463140488,,
5,1.0134360939264297,5,1.288201950597763,,
6,0.8999906927347183,6,1.1717385732388497,,
7,0.832043007016182,7,1.0698299033720493,,
8,0.7530378997325897,8,0.9747923022802114,,
9,0.7056567966938019,9,0.8940516506042886,,
10,0.6785056591033936,10,0.8293878531540201,,
11,0.6299197822809219,11,0.7695474318920906,,
12,0.6083787381649017,12,0.721196823773934,,
13,0.5863737612962723,13,0.6807499050306355,,
14,0.5826455354690552,14,0.6513185941621614,,
15,0.5727324187755585,15,0.6277427415461805,,
16,0.5457417219877243,16,0.6031424356786437,,
17,0.5355613380670547,17,0.5828681063951671,,
18,0.5243342369794846,18,0.5653079455704623,,
19,0.5223654881119728,19,0.5524252083329154,,
20,0.5217744186520576,20,0.5432299714286581,,
21,0.5253339484333992,21,0.5378611645300805,,
22,0.5069639682769775,22,0.5285920056541495,,
23,0.501735731959343,23,0.5205351235457075,,
24,0.5096783861517906,24,0.5172781023275325,,
25,0.5053734853863716,25,0.5137067172451842,,
26,0.4941934049129486,26,0.5078527235455136,,
27,0.502189427614212,27,0.5061537347661231,,
28,0.4824555367231369,28,0.49904427535322726,,
29,0.5022091567516327,29,0.49999373977274886,,
30,0.4769589900970459,30,0.493083314870038,,
31,0.502776749432087,31,0.4959913452386526,,
32,0.47392798960208893,32,0.48937233854768347,,
33,0.47519073635339737,33,0.48511785788939765,,
34,0.4654918536543846,34,0.47923005661889373,,
35,0.47560932487249374,35,0.47814383709497377,,
36,0.4510185718536377,36,0.47000625752257297,,
37,0.46246133744716644,37,0.46774278149995097,,
38,0.46220508217811584,38,0.4660814717034004,,
39,0.47095346450805664,39,0.4675430695447973,,
40,0.45143765956163406,40,0.4627114465498483,,
41,0.46388673782348633,41,0.46306403393193973,,
42,0.4549775794148445,42,0.4606380975768112,,
43,0.4641512632369995,43,0.4616920472748677,,
44,0.4656504914164543,44,0.4628795805173437,,
45,0.4397464916110039,45,0.4559396538454418,,
46,0.43622178584337234,46,0.4500242934448209,,
47,0.45754678547382355,47,0.45228104105352174,,
48,0.4416872039437294,48,0.449102889920584,,
49,0.4448598474264145,49,0.4478299771723332,,
50,0.43257011473178864,50,0.4432520184401698,,
51,0.44185101985931396,51,0.4428317188659131,,
52,0.42601029574871063,52,0.4377852919307524,,
53,0.4413057565689087,53,0.43884143132219927,,
54,0.4205763339996338,54,0.4333619021254297,,
55,0.4562634155154228,55,0.4402323561424276,,
56,0.46706532686948776,56,0.44828224736054567,,
57,0.4300448074936867,57,0.44281101540048795,,
58,0.4501110017299652,58,0.4450010112993311,,
59,0.42322444915771484,59,0.43846804265684625,,
60,0.4269866347312927,60,0.4350236202791802,,
61,0.4177979305386543,61,0.42985591335702245,,
62,0.4134102612733841,62,0.42492221773193095,,
63,0.41717609763145447,63,0.422598381701788,,
64,0.4261377826333046,64,0.423660201981243,,
65,0.4281606450676918,65,0.42501033490717766,,
66,0.43277739733457565,66,0.4273404536353971,,
67,0.42118964344263077,67,0.4254952105775672,,
68,0.4423311725258827,68,0.4305459991620618,,
69,0.40922263264656067,69,0.42414898920741145,,
70,0.42421479523181915,70,0.42416873101473374,,
71,0.4281756207346916,71,0.4253707979307211,,
72,0.4232119172811508,72,0.42472313373584997,,
73,0.41217469424009323,73,0.420958601887123,,
74,0.41384532302618027,74,0.41882461822884015,,
75,0.4007846936583519,75,0.4134126408576937,,
76,0.41072869300842285,76,0.4126074565029124,,
77,0.40207280963659286,77,0.40944706244301654,,
78,0.435555174946785,78,0.41727949619414706,,
79,0.4131980985403061,79,0.41605507689799476,,
80,0.42605923116207123,80,0.4190563231772177,,
81,0.40549250692129135,81,0.41498717830043974,,
82,0.40229862183332443,82,0.41118061136030515,,
83,0.3950166702270508,83,0.4063314290203288,,
84,0.40699613839387894,84,0.40653084183239385,,
85,0.4041244313120842,85,0.405808918676301,,
86,0.39607372134923935,86,0.40288835947818247,,
87,0.41200946271419525,87,0.4056246904489863,,
88,0.4018307998776436,88,0.4044865232775835,,
89,0.4031536132097244,89,0.4040866502572258,,
90,0.39202164858579636,90,0.40046714975579695,,
91,0.3974592089653015,91,0.39956476751864833,,
92,0.4031965509057045,92,0.40065430253476514,,
93,0.3971504867076874,93,0.39960315778664185,,
94,0.4021521210670471,94,0.4003678467707634,,
95,0.45607589185237885,95,0.41708026029524803,,
96,0.39438269287347794,96,0.410270990068717,,
97,0.41457755118608475,97,0.4115629584039273,,
98,0.3995010405778885,98,0.40794438305611563,,
99,0.40951968729496,99,0.40841697432776897,,
100,0.39457035064697266,100,0.4042629872235301,,
101,0.38783635944128036,101,0.39933499888885515,,
102,0.417152039706707,102,0.4046801111342107,,
103,0.3950277343392372,103,0.40178439809571864,,
104,0.39852259308099747,104,0.4008058565913023,,
105,0.39661093056201935,105,0.39954737878251745,,
106,0.39510478079319,106,0.39821459938571924,,
107,0.4058694764971733,107,0.40051106251915547,,
108,0.3868454173207283,108,0.39641136895962736,,
109,0.435491181910038,109,0.4081353128447505,,
110,0.4030749127268791,110,0.4066171928093891,,
111,0.38681142032146454,111,0.4006754610630117,,
112,0.41170385479927063,112,0.4039839791838894,,
113,0.39142365753650665,113,0.40021588268967456,,
114,0.39981596916913986,114,0.4000959086335142,,
115,0.4142032340168953,115,0.4043281062485285,,
116,0.4045304134488106,116,0.4043887984086131,,
117,0.40270787477493286,117,0.40388452131850905,,
118,0.4321919307112694,118,0.4123767441363371,,
119,0.39219267666339874,119,0.4063215238944556,,
120,0.3752399832010269,120,0.396997061686427,,
121,0.38459642976522446,121,0.39327687211006623,,
122,0.4072865769267082,122,0.3974797835550588,,
123,0.4164699390530586,123,0.40317683020445877,,
124,0.3944762125611305,124,0.4005666449114603,,
125,0.3805842399597168,125,0.3945719234259373,,
126,0.3894105553627014,126,0.3930235130069665,,
127,0.4133891388773918,127,0.3991332007680941,,
128,0.41068030893802643,128,0.40259733321907376,,
129,0.4024689048528671,129,0.40255880470921174,,
130,0.3886627107858658,130,0.398389976532208,,
131,0.3923269286751747,131,0.396571062175098,,
132,0.3991905525326729,132,0.3973569092823705,,
133,0.4314711317420006,133,0.4075911760202595,,
134,0.383064404129982,134,0.40023314445317626,,
135,0.39083271473646164,135,0.3974130155381619,,
136,0.38611306995153427,136,0.3940230318621736,,
137,0.37914668768644333,137,0.3895601286094545,,
138,0.39416248351335526,138,0.3909408350806247,,
139,0.37926118820905685,139,0.3874369410191543,,
140,0.3884548842906952,140,0.3877423240006166,,
141,0.37495558708906174,141,0.3839063029271501,,
142,0.39139988273382187,142,0.38615437686915166,,
143,0.38047412782907486,143,0.3844503021571286,,
144,0.3815310299396515,144,0.38357452049188545,,
145,0.404494009912014,145,0.389850367317924,,
146,0.3695843741297722,146,0.3837705693614784,,
147,0.40166331827640533,147,0.3891383940359565,,
148,0.38708486407995224,148,0.38852233504915523,,
149,0.37170449644327164,149,0.3834769834673901,,
150,0.38095834851264954,150,0.38272139298096797,,
151,0.3862871378660202,151,0.3837911164464836,,
152,0.390229769051075,152,0.38572271222786103,,
153,0.37151243537664413,153,0.38145962917249593,,
154,0.3779084160923958,154,0.38039426524846587,,
155,0.3758549317717552,155,0.37903246520545264,,
156,0.394603855907917,156,0.3837038824161919,,
157,0.40837518125772476,157,0.39110527206865175,,
158,0.37802403420209885,158,0.3871809007086859,,
