"Real NN 3 for Time,0; ,None - All data","Averages for Time,0; ,None","Real NN 3 for Time,1; ,None - All data","Averages for Time,1; ,None","Real NN 3 for Time,2; ,None - All data","Averages for Time,2; ,None","Real NN 3 for Time,3; ,None - All data","Averages for Time,3; ,None","Real NN 3 for Time,4; ,None - All data","Averages for Time,4; ,None","Real NN 3 for Time,5; ,None - All data","Averages for Time,5; ,None","Real NN 3 for Time,6; ,None - All data","Averages for Time,6; ,None","Real NN 3 for Time,7; ,None - All data","Averages for Time,7; ,None","Real NN 3 for Time,8; ,None - All data","Averages for Time,8; ,None","Real NN 3 for Time,9; ,None - All data","Averages for Time,9; ,None","Real NN 3 for Time,10; ,None - All data","Averages for Time,10; ,None","Real NN 3 for Time,11; ,None - All data","Averages for Time,11; ,None","Real NN 3 for Time,12; ,None - All data","Averages for Time,12; ,None","Real NN 3 for Time,13; ,None - All data","Averages for Time,13; ,None","Real NN 3 for Time,14; ,None - All data","Averages for Time,14; ,None","Real NN 3 for Time,15; ,None - All data","Averages for Time,15; ,None","Real NN 3 for Time,16; ,None - All data","Averages for Time,16; ,None","Real NN 3 for Time,17; ,None - All data","Averages for Time,17; ,None","Real NN 3 for Time,18; ,None - All data","Averages for Time,18; ,None","Real NN 3 for Time,19; ,None - All data","Averages for Time,19; ,None","Real NN 3 for Time,20; ,None - All data","Averages for Time,20; ,None","Real NN 3 for Time,21; ,None - All data","Averages for Time,21; ,None","Real NN 3 for Time,22; ,None - All data","Averages for Time,22; ,None","Real NN 3 for Time,23; ,None - All data","Averages for Time,23; ,None","Real NN 3 for Time,24; ,None - All data","Averages for Time,24; ,None","Real NN 3 for Time,25; ,None - All data","Averages for Time,25; ,None","Real NN 3 for Time,26; ,None - All data","Averages for Time,26; ,None","Real NN 3 for Time,27; ,None - All data","Averages for Time,27; ,None","Real NN 3 for Time,28; ,None - All data","Averages for Time,28; ,None","Real NN 3 for Time,29; ,None - All data","Averages for Time,29; ,None","Real NN 3 for Time,30; ,None - All data","Averages for Time,30; ,None","Real NN 3 for Time,31; ,None - All data","Averages for Time,31; ,None","Real NN 3 for Time,32; ,None - All data","Averages for Time,32; ,None","Real NN 3 for Time,33; ,None - All data","Averages for Time,33; ,None","Real NN 3 for Time,34; ,None - All data","Averages for Time,34; ,None","Real NN 3 for Time,35; ,None - All data","Averages for Time,35; ,None","Real NN 3 for Time,36; ,None - All data","Averages for Time,36; ,None","Real NN 3 for Time,37; ,None - All data","Averages for Time,37; ,None","Real NN 3 for Time,38; ,None - All data","Averages for Time,38; ,None","Real NN 3 for Time,39; ,None - All data","Averages for Time,39; ,None","Real NN 3 for Time,40; ,None - All data","Averages for Time,40; ,None","Real NN 3 for Time,41; ,None - All data","Averages for Time,41; ,None","Real NN 3 for Time,42; ,None - All data","Averages for Time,42; ,None","Real NN 3 for Time,43; ,None - All data","Averages for Time,43; ,None","Real NN 3 for Time,44; ,None - All data","Averages for Time,44; ,None","Real NN 3 for Time,45; ,None - All data","Averages for Time,45; ,None","Real NN 3 for Time,46; ,None - All data","Averages for Time,46; ,None","Real NN 3 for Time,47; ,None - All data","Averages for Time,47; ,None","Real NN 3 for Time,48; ,None - All data","Averages for Time,48; ,None","Real NN 3 for Time,49; ,None - All data","Averages for Time,49; ,None","Real NN 3 for Time,50; ,None - All data","Averages for Time,50; ,None"
6.47,6.743065596,6.28,7.150927901,0.95,0.953875169,7.62,7.041538715,2.64,2.799428225,0.97,0.901695266,0.85,0.714563832,0.69,0.67204079,3.04,3.118071377,0.95,0.986503333,6.48,5.884741068,4.01,4.168322206,4.33,3.896129429,7.53,6.029830217,0.95,0.965736091,0.95,0.934930846,4.51,4.190229774,3.2,3.194468439,7.44,8.017531395,6.28,7.108901024,0.83,1.088826537,0.82,0.810011134,0.8,0.967805058,1.1,1.259250939,7.12,7.113825083,2.79,2.873764157,0.95,0.987949535,7.4,6.32722652,0.84,0.822490931,0.86,0.842488512,4.29,4.425245166,3.64,3.762432098,2.71,2.619988501,0.82,1.005872697,0.68,0.954930454,2.71,2.650892317,0.95,0.94681105,4.02,3.953057647,1.49,1.592193186,2.16,1.978149086,8.71,8.294723988,0.7,0.80690068,0.56,0.724130034,2.48,2.563755989,1.38,1.234467626,0.73,1.268634588,0.95,0.984585226,8.01,8.2783916,6.48,6.093292594,7.39,7.485115051,7.94,8.851009846
4.83,5.120408058,3.1,2.981901467,5.52,5.573896766,4.51,3.586458325,4.42,3.876823545,4.43,4.002913356,1.42,1.434237421,3.2,4.107105613,0.86,1.438089669,4.29,3.955022275,0.95,0.969457909,0.6,0.792517722,0.95,0.95328182,0.95,0.990190461,0.95,1.010102049,4.35,4.332585931,6.69,6.790701747,8.84,8.590257645,6.15,6.24552381,0.95,0.949162841,6.69,6.874265552,4.33,4.019779563,3.12,3.004703224,0.81,0.846825182,0.95,0.981967583,5.1,5.838275075,6.26,6.749992967,0.95,0.947681829,1.3,1.413945466,0.95,0.968651697,1.42,1.64411819,0.69,0.690006062,3.4,3.363860011,1.3,1.428192019,6.69,7.042149305,1.49,1.616808534,5.06,4.708977103,0.95,0.955071032,0.95,0.927381575,6.26,6.466742754,6.61,6.576143265,0.95,0.973214805,8.71,8.439148664,7.4,6.53365314,0.85,0.907433689,3.04,2.931312919,0.95,1.017538667,5.59,6.322657108,0.87,0.906590223,2.16,2.220675409,1.3,1.455700994
0.93,1.782583743,0.85,0.69471851,7.94,5.29350239,0.95,0.871986568,0.82,0.823019654,0.6,0.904330596,0.86,0.892520145,0.7,0.671775907,4.02,4.486548185,0.86,1.223490775,3.12,3.202651262,0.95,0.983626455,0.95,0.961807147,3.75,4.064934313,0.78,0.880161405,3.2,3.836318254,0.95,0.988699347,6.26,6.773659229,0.59,0.856243297,4.89,4.733204246,2.72,2.331304133,0.95,1.020440742,2.28,2.285102189,6.47,6.15188098,1.39,2.239516705,0.95,0.932834893,7.94,7.444337487,4.51,4.19927752,6.15,5.819011569,4.39,4.530133128,0.82,0.983386442,0.67,0.66178216,0.95,0.974687532,0.81,0.892888829,5.79,6.005989194,4.02,3.988761127,0.94,0.897764117,4.67,4.824283481,5.52,5.603993893,0.95,0.966019809,0.95,0.995598957,7.94,7.507121444,1.38,1.18699722,4.89,4.49810791,8.71,8.607314348,2.62,1.752451867,0.83,1.545968115,6.47,6.445360422,3.1,2.983560443,4.4,4.449853063,0.88,1.153054282
4.43,2.900625706,3.37,3.963213623,0.86,1.907879859,0.95,1.069010153,0.86,0.925981894,1.49,1.52581808,3.2,3.270049572,3.6,3.207411408,2.64,2.971582592,0.95,0.915477589,0.98,2.363101423,0.96,0.906155974,4.83,5.712656736,3.75,5.281197786,0.95,1.07583873,6.47,6.295534492,5.27,5.322799444,2.48,3.13923502,5.79,6.049409389,3.4,3.459781885,7.4,6.277309775,5.79,6.033456683,0.95,0.998549372,7.44,7.992209911,4.51,4.206482053,1.1,1.261186093,0.95,0.991182774,0.95,0.970695242,0.8,0.94284901,4.4,4.297813296,0.95,1.004899442,0.93,0.78743358,0.77,0.837921321,0.78,1.117755726,1.5,1.655001462,4.39,4.484060764,2.28,2.550444961,0.87,0.945462495,4.31,4.418668866,4.33,4.116286397,3.1,2.799052119,0.78,1.270160332,0.7,0.816784084,0.84,0.974937007,4.5,4.419525981,6.55,6.359967113,4.4,4.509079933,6.08,5.978552341,0.6,1.163645685,1.1,1.344967231,1.5,2.089636058
0.8,0.595844645,7.62,6.997964144,0.95,0.904001996,1.93,2.034437865,2.62,1.997683764,0.95,0.894340321,0.95,0.936125889,2.62,2.412237167,6.41,5.071190476,0.95,0.963841349,0.95,0.977799758,0.95,0.982882008,2.16,2.044812709,0.95,0.954534069,1.05,1.076347068,4.36,4.082268596,7.94,7.129935145,0.98,1.433922589,0.95,0.990571976,0.73,0.843980953,1.3,1.286225587,7.62,6.295461655,5.1,6.091179013,3.6,2.776805937,7.89,8.168182731,7.94,7.502380252,4.88,4.768972158,7.44,8.097371697,0.95,0.936414078,0.95,0.984892234,4.75,4.786400199,0.95,0.951897725,9.45,8.761643887,0.95,0.968813106,0.95,0.997908846,6.6,6.592130423,5.27,5.328557253,1.3,1.389318138,0.96,1.356682003,0.95,0.979627505,0.95,0.947620139,2.12,2.172306716,0.95,0.951596454,0.95,0.921006843,0.8,0.990658507,4.01,4.214872181,4.36,4.383468866,0.94,0.876138017,4.89,4.463198066,0.56,0.899275377,4.75,4.636378407
0.95,1.076106817,4.54,4.341392577,0.7,0.774779826,5,5.502708435,3.2,4.11135298,3.37,4.155529678,6.47,5.370796323,0.96,0.811180547,7.89,7.612661242,4.85,4.018583715,0.95,0.96130906,3.64,3.54109633,7.1,7.105035663,4.89,4.926451087,4.43,4.197524071,7.94,6.982031465,2.48,3.147431374,2.72,2.258438051,0.95,0.954590216,0.76,0.771247074,0.87,0.900107801,1.5,1.911993206,4.67,4.787160754,2.48,2.952668011,0.7,0.857614353,3.62,3.538908601,0.95,0.998806491,8.01,8.071364522,2.79,2.928147256,0.6,0.601082236,0.95,0.9682758,0.81,0.865922242,0.88,1.135222405,4.38,4.426671505,0.95,0.980471194,5.27,5.335646629,3.1,2.634851038,1.88,1.719409525,0.95,0.953179196,1.88,1.740383357,0.85,0.83342126,0.95,0.966026843,6.69,7.097517252,0.95,0.968170747,4.83,4.940968633,0.95,0.982165664,0.69,0.73579815,4.38,4.475019813,6.28,7.015373349,7.12,7.212265491,0.77,1.004583254
0.86,3.94570899,7.4,5.850239158,5.27,4.179847777,0.95,0.936037719,3.6,3.722446203,0.87,0.736229181,6.41,5.12298131,0.98,2.694968283,4.4,3.507477939,3.62,3.320212007,0.78,0.701062754,0.88,0.947426692,4.85,4.189798653,4.75,4.163202584,3.6,2.2997455,0.95,0.988669083,0.86,0.91842261,0.77,0.640424825,6.06,6.677761793,0.67,0.778588831,3.75,4.789876103,1.3,1.310732722,1.39,2.277223855,3.62,3.58332932,0.95,0.989741623,4.01,4.159678102,0.95,0.98693645,0.95,0.947872907,0.82,0.976702601,0.98,0.94126536,0.6,0.602223188,0.95,0.928373829,7.12,7.19516325,0.68,0.958938286,0.95,0.951039195,5.06,4.701147318,4.85,4.663084745,1.38,1.08539483,0.7,0.80458954,0.95,0.980503261,4.52,4.119457662,6.41,5.710334659,0.84,0.91729258,0.95,0.976349458,0.97,1.164991811,7.44,7.720704436,0.95,0.947997779,4.33,4.175993383,4.02,3.851500154,0.95,0.98445268,1.42,1.89086926
0.95,0.493073359,0.95,0.942654297,8.71,6.355536819,1.5,1.147117257,2.28,1.963286966,0.84,0.998963252,2.79,2.616589725,4.85,4.491925716,6.64,5.805913687,1.49,1.592750371,2.71,2.432039976,0.9,0.900961056,0.98,1.913456976,0.95,0.95842123,6.55,5.792361259,6.28,6.857203364,1.63,1.624944389,4.29,4.192342043,2.81,3.484835148,0.95,0.984152213,1.49,1.785230666,1.63,1.82337746,0.95,0.953726694,0.95,0.996104643,3.6,2.810634732,7.39,7.88476181,4.01,4.136337996,0.69,0.728761271,2.71,2.611681819,4.29,4.398010015,4.36,4.187467694,3.37,3.294062614,0.95,0.9604491,8.71,7.946751475,3.6,2.882326543,0.95,0.967246428,0.95,0.936452493,1.93,1.895472527,3.62,3.625302672,5.27,5.382075906,4.75,4.756817102,4.38,4.486901879,4.4,4.453130841,7.94,7.643860102,7.51,7.128545523,4.7,4.744746804,5.06,4.897153258,0.67,0.69727391,0.95,0.97381708,3.2,3.20965153,4.52,4.011222064
5.52,5.620346904,4.42,3.386832058,2.62,1.56608361,3.37,3.936369598,2.62,2.768075407,6.64,5.369825721,5.79,5.194066882,0.95,0.932665035,2.48,3.935941517,6.61,7.232403755,6.64,5.820042491,7.4,5.432615876,6.69,6.676344275,4.5,4.33699739,0.97,0.937847614,0.6,0.779689699,0.95,1.01656349,9.45,7.660130024,0.86,0.884139672,0.95,1.000803709,7.94,7.356137514,5.73,6.122851014,6.6,6.53862679,1.3,1.336792201,3.75,3.892560422,2.64,2.554381192,7.51,6.972924352,0.95,0.971958399,0.95,0.971263587,0.95,0.928873494,0.7,0.845290422,4.32,4.506562471,4.38,4.420857191,0.64,0.656432211,0.82,0.85048376,7.1,7.065588474,0.7,0.832581818,0.95,0.94358477,5.79,6.017935038,8.71,8.233436823,4.88,4.740990639,0.64,0.626984023,2.79,2.951161563,1.42,1.617641866,1.63,1.816814095,0.95,0.984533936,1.49,1.69720608,4.83,4.941690922,0.95,1.033640504,1.39,2.397034436,0.95,1.00927192
0.68,0.468910366,2.62,4.545105278,0.95,0.931553975,8.39,7.057087183,0.78,0.405569267,7.4,4.729327321,2.62,1.936351776,4.36,4.875532985,0.95,0.956426561,4.33,4.224170506,0.95,0.982745767,6.48,5.750555515,0.95,1.034608215,2.16,2.033483356,1.3,1.294397414,0.64,0.709228098,4.38,4.34817946,4.52,4.108650267,7.12,7.053925037,0.95,0.997091115,4.5,4.567572951,6.28,7.155811906,3.4,3.355037749,0.95,0.9992515,5.06,4.540413499,5.27,5.382292271,5.27,5.36560905,0.95,0.98278074,4.02,4.025112867,0.56,0.753502518,0.95,1.001203105,2.62,2.596463799,0.95,0.972744614,2.64,2.3804093,1.39,2.01218918,4.43,4.18790555,0.83,1.295010835,4.54,4.250955224,0.95,0.953431934,4.32,4.460587621,6.47,6.387464166,0.73,1.200755775,0.86,1.322690338,0.95,0.944885969,0.95,0.973218039,0.84,1.008292332,4.38,4.505777478,5.79,5.983931661,2.28,2.936381578,0.95,1.039088532,1.93,2.024525672
