"Real NN 3 for Increasing PPM,0; ,None - All data","Averages for Increasing PPM,0; ,None","Real NN 3 for Increasing PPM,1; ,None - All data","Averages for Increasing PPM,1; ,None"
4.01,4.214265406131744,3.67,3.5975049138069153
1.5,1.9206786751747131,4.4,4.471776008605957
5.98,5.983350157737732,4.52,4.095234632492065
3.64,3.726441264152527,4.36,4.2064820528030396
4.29,4.378481388092041,5.9,5.839621067047119
6.6,6.679279685020447,0.95,0.9740229398012161
6.48,5.75932502746582,2.79,2.9656681418418884
0.82,0.35526999086141586,0.76,0.7407875657081604
4.1,5.161252737045288,0.86,1.389682650566101
0.85,0.6146929003298283,0.95,0.9653018116950989
2.64,2.3831939697265625,6.55,5.946377396583557
1.5,1.7110135853290558,1.04,0.9887415170669556
4.75,4.689936280250549,6.06,6.318125605583191
3.62,3.514822542667389,4.85,4.710568428039551
4.75,4.772032141685486,4.35,4.4954575300216675
0.96,1.3002792000770569,4.36,4.6669487953186035
3.1,3.5187410712242126,0.95,0.9768636971712112
0.8,0.857102170586586,0.95,0.9644080847501755
0.86,0.937039852142334,0.95,1.0437651127576828
5.52,5.5763713121414185,7.12,6.879750967025757
5.52,5.621804475784302,0.95,0.9985909759998322
6.6,6.5638580322265625,0.73,1.2808424234390259
7.94,5.363109111785889,4.51,4.193347930908203
7.04,5.602638483047485,4.39,4.832862854003906
5.1,5.501428723335266,0.93,0.7807416170835495
3.6,3.466541588306427,6.55,6.379862666130066
0.82,0.8060904294252396,6.26,6.518710136413574
1.3,1.2487750351428986,0.95,0.9600541740655899
4.54,4.345219254493713,0.95,0.9879531115293503
2.71,2.6262857913970947,4.36,5.098905920982361
0.8,0.9254966229200363,3.37,3.3197665214538574
7.62,8.122320294380188,5.06,4.635432720184326
4.7,4.793265342712402,0.95,0.9661693722009659
3.6,2.6432400345802307,0.6,0.6043601706624031
4.75,4.25374448299408,4.39,4.629915952682495
2.64,3.0225678086280823,0.95,0.934020072221756
4.1,3.9841544032096863,6.69,6.931017756462097
3.04,2.9584239721298218,2.81,3.1341912746429443
1.93,2.1853447556495667,3.37,3.3300822973251343
6.64,6.390552282333374,6.06,6.321471810340881
6.28,9.37960696220398,4.36,4.255518317222595
7.62,7.904669165611267,0.95,1.1075143665075302
7.62,7.166756868362427,6.15,5.834795117378235
2.48,2.6072723865509033,4.67,4.161498606204987
1.93,2.0236214101314545,0.78,0.5688798800110817
0.7,0.7538224309682846,4.67,4.946321725845337
2.48,3.2359564304351807,0.84,0.9336817264556885
3.4,3.4862759709358215,0.95,0.9458497166633606
0.68,0.7981856763362885,0.93,1.0832117199897766
1.3,1.3032890260219574,0.95,0.9467409253120422
3.04,2.8759565353393555,0.7,0.2657550051808357
0.68,1.0537882447242737,6.47,6.222543001174927
6.28,6.99560284614563,8.84,9.042027235031128
0.82,0.96849125623703,8.71,6.46895968914032
2.71,4.777563691139221,5.06,4.669828414916992
3.2,3.2713266611099243,3.37,3.1706170439720154
2.64,2.9309277534484863,0.95,0.9753676354885101
0.86,0.9417023956775665,0.95,0.9955859631299973
4.1,3.9666008353233337,3.6,2.4906410574913025
4.54,4.221907675266266,4.52,4.083124399185181
7.62,7.878191590309143,7.53,6.323525786399841
7.04,5.739391803741455,0.81,0.8190308958292007
0.8,1.053160384297371,1.88,1.8585832715034485
0.97,0.7968926131725311,4.51,3.7755143642425537
6.6,6.5909377336502075,7.89,7.634122371673584
0.97,0.9385768920183182,2.62,1.881695717573166
4.29,4.424140810966492,0.83,1.59850212931633
6.64,5.638707876205444,7.1,6.918277025222778
4.7,4.574829399585724,2.16,1.9802718460559845
1.93,1.9057117700576782,0.87,0.9468082040548325
4.54,4.235428333282471,0.76,0.6333297826349735
1.3,1.4432171881198883,0.95,0.9048831313848495
7.62,8.005277872085571,4.5,4.483304500579834
3.62,3.4876912236213684,5.59,6.028769135475159
2.48,2.838720917701721,0.59,0.6349002122879028
4.1,4.146299779415131,2.72,2.1605722904205322
0.68,1.1073032468557358,0.77,0.8211516439914703
6.48,6.229538917541504,2.62,1.4647551774978638
7.04,6.8723578453063965,6.61,7.229655146598816
4.01,4.222703039646149,4.42,4.627534985542297
