"Real NN 3 for Spin Coating,0; ,None - All data","Averages for Spin Coating,0; ,None","Real NN 3 for Spin Coating,1; ,None - All data","Averages for Spin Coating,1; ,None"
0.8,1.053160384,0.95,0.947681829
1.63,1.968128145,6.26,6.749992967
4.29,4.424140811,0.95,0.945900396
6.64,5.638707876,0.95,0.975664511
3.6,2.458559334,7.1,5.36666441
4.7,4.5748294,0.95,0.904520988
1.93,1.90571177,0.95,0.931619033
6.55,6.369773746,0.88,0.921462104
4.54,4.235428333,0.95,0.965711981
4.83,5.793283582,1.3,1.413945466
0.73,1.31447795,8.71,8.294723988
5.73,6.171155334,7.44,7.971485376
0.94,0.750455484,0.82,0.983386442
0.86,1.540885568,7.94,7.444337487
6.41,5.728088617,0.95,0.852770343
7.62,8.005277872,0.95,0.983626455
8.01,8.2783916,0.95,0.995598957
8.01,8.195415974,0.95,0.986503333
2.79,2.475846648,3.12,3.004703224
0.73,1.245458335,8.39,8.412783384
4.88,4.84578681,0.95,0.991182774
0.64,0.625763349,7.94,8.851009846
8.84,8.462760448,0.95,1.014401689
4.67,3.975305796,7.94,7.438616395
0.83,1.088574722,7.39,7.485115051
6.15,6.405252457,5,5.505586982
2.48,2.838720918,8.71,8.607314348
0.67,0.619708359,0.95,1.000786528
1.49,1.647517085,0.95,1.004899442
4.51,4.176172256,0.95,0.918764949
1.42,1.637658507,0.82,0.956284121
4.02,4.238487422,0.95,0.970695242
4.67,3.951427758,7.89,7.583785176
8.01,8.124530911,5.27,5.328557253
1.49,1.663096309,0.95,0.938865528
4.1,4.146299779,0.95,0.950389221
0.68,1.107303247,1.3,1.455700994
6.48,6.229538918,8.71,7.725456595
7.04,6.872357845,7.44,7.320387721
4.01,4.22270304,0.95,0.95328182
1.42,1.557854265,0.82,1.005872697
1.49,1.713542759,0.95,0.965736091
0.94,0.867822722,0.88,1.153054282
0.86,0.88192226,1.3,1.428192019
2.64,2.589659333,0.95,0.947620139
0.87,0.773852989,0.95,0.821562991
4.29,4.381211638,0.95,0.990190461
0.68,0.944326788,0.88,0.968766138
5.52,5.909152389,0.95,0.915477589
6.06,6.227011085,7.44,7.97009778
3.64,3.649290621,0.95,0.936452493
2.48,2.802147031,0.95,0.998806491
4.02,4.346109927,0.95,0.953875169
3.04,2.873662591,3.2,4.107105613
5.59,6.058764219,0.95,0.977349058
4.31,4.431027532,5.1,5.838275075
1.39,2.126470149,0.82,0.823019654
0.7,0.969071433,7.44,8.097371697
5.79,6.008082986,0.95,0.963841349
4.36,5.101415157,2.62,2.651622772
4.33,4.116286397,1.3,1.389318138
2.81,3.05446744,0.86,0.892520145
0.7,0.843247548,1.1,1.344967231
0.77,0.671053886,0.95,0.968651697
0.59,0.832124859,0.95,1.010102049
4.4,4.43892777,0.95,0.934930846
1.38,0.957172364,8.71,8.439148664
4.54,4.247297049,0.97,1.164991811
0.87,0.915300295,4.35,4.332585931
4.4,4.498033762,0.95,0.951897725
4.89,5.075561166,0.95,0.979627505
4.5,4.518956065,0.95,0.982165664
4.89,5.062007666,3.2,4.11135298
4.31,4.436163187,5,4.958213449
0.84,0.868506223,0.95,0.9682758
5.59,6.322657108,7.44,8.017531395
7.12,7.138174534,0.95,0.982882008
0.93,0.990710258,0.95,0.947872907
1.5,1.797256052,0.95,0.998549372
4.39,4.88373208,0.95,0.961807147
4.5,4.189879239,7.44,7.720704436
4.39,4.832084775,5.1,6.091179013
0.83,1.545968115,0.95,0.925989121
4.1,4.106054544,0.95,0.95683153
4.29,4.425245166,0.95,0.935648292
1.05,0.931757167,0.95,0.973218039
0.7,0.620931987,0.95,0.98693645
4.29,3.807523191,3.2,3.270049572
1.38,1.234467626,0.95,0.955970153
4.89,4.806663752,0.95,1.035164759
4.38,4.409609556,0.95,0.921006843
6.47,5.939070702,3.2,3.836318254
4.02,3.953057647,0.95,0.947997779
7.12,6.811142325,0.95,0.981967583
3.64,3.762432098,0.95,0.871986568
4.67,4.88664341,2.62,2.768075407
2.16,2.179265559,1.3,1.384234637
4.89,4.483266354,0.95,0.984533936
4.85,4.519291043,0.95,0.936125889
6.69,6.955719471,0.86,1.907879859
4.5,4.402231336,0.95,0.988699347
4.36,3.362885058,0.95,0.98445268
4.01,4.168322206,3.2,3.194468439
0.73,0.774053186,0.95,0.997908846
3.64,3.697567999,0.95,0.954534069
0.69,0.690006062,0.95,0.968813106
7.51,7.106649756,0.95,0.980471194
0.86,0.90062125,0.95,0.968170747
0.7,1.008694991,0.95,0.928373829
0.78,1.164840743,3.62,3.320212007
7.53,6.029830217,0.95,0.971958399
1.42,1.64411819,0.95,0.98278074
1.39,2.322751999,0.95,0.951039195
0.85,0.907433689,0.95,0.984892234
7.4,6.29214561,0.95,0.972730547
8.84,8.437441349,7.89,7.612661242
0.73,1.268634588,2.71,2.650892317
7.4,6.32722652,0.95,0.980503261
3.75,4.311265051,0.95,0.932834893
0.83,1.163004041,0.95,0.951596454
3.04,2.931312919,7.1,7.050387144
0.84,0.822490931,0.95,0.936414078
2.28,2.490096629,5.27,5.382075906
1.93,2.006483406,0.95,1.001203105
4.67,4.824283481,0.95,1.07583873
4.88,4.768823743,0.95,1.020440742
0.6,0.792517722,7.1,7.105035663
0.8,1.128176242,0.95,0.976349458
2.62,1.752451867,1.1,1.261186093
4.51,4.19927752,0.88,0.947426692
0.8,1.179711312,7.89,8.168182731
1.38,1.0211647,8.71,7.946751475
8.84,8.639510393,0.95,0.927381575
5.06,4.708977103,6.26,6.773659229
0.56,0.742760897,5.27,5.322799444
0.69,0.67204079,0.95,1.069010153
6.61,6.576143265,0.95,0.917426944
4.32,4.611504674,0.95,1.00927192
0.8,0.967805058,0.95,0.945834428
0.94,0.897764117,8.71,8.233436823
6.47,6.445360422,0.95,0.95842123
6.64,6.336253524,0.95,0.953726694
6.55,6.359967113,5,5.502708435
3.1,2.583479345,0.97,1.160418615
4.7,4.411358595,1.3,1.286225587
0.9,0.912049904,0.95,0.949162841
2.37,1.94714883,0.95,1.020582587
4.29,4.27284795,0.95,0.928873494
0.67,0.719605356,7.94,7.643860102
0.85,0.842061788,0.95,0.972128108
3.04,3.118071377,3.2,3.20965153
2.28,2.550444961,1.1,1.259250939
4.29,3.955022275,0.95,0.988669083
0.86,1.054844379,0.95,0.936037719
0.68,0.954930454,0.95,0.991588414
0.86,1.223490775,0.95,0.973214805
7.53,6.855616331,0.95,0.981284961
0.67,0.66178216,0.95,0.94358477
4.85,4.783895731,2.71,2.619988501
4.33,3.896129429,0.95,1.076106817
4.5,4.419525981,0.82,0.976702601
0.8,0.888588518,2.71,2.611681819
0.69,0.722108513,0.95,0.904001996
1.05,0.990421161,0.95,0.944885969
7.62,7.983933568,0.97,1.09833163
3.1,2.799052119,3.12,2.942115605
2.81,3.531993866,0.86,3.94570899
4.39,4.617334604,0.95,1.01656349
7.53,5.928685546,3.2,3.43163991
6.48,6.093292594,0.95,1.034608215
2.16,2.220675409,2.12,2.172306716
4.4,4.449853063,0.95,0.971263587
4.4,4.509079933,0.95,0.956426561
0.87,0.945462495,0.95,1.029574469
3.4,3.480961204,0.95,0.993578941
3.1,2.597580671,0.95,0.965581611
0.8,0.990658507,8.39,7.057087183
2.64,2.622690737,2.62,2.412237167
0.96,0.886976346,0.95,0.989741623
2.37,2.019465566,5.27,5.36560905
4.1,5.699711204,6.6,6.53862679
6.55,6.277981043,0.95,0.92678535
0.98,1.025659651,0.95,0.974687532
0.86,1.438089669,0.95,0.996017829
9.45,6.60330832,0.95,0.966026843
4.83,4.940968633,0.95,0.945456088
0.85,0.714563832,0.97,0.901695266
0.84,1.847903907,0.95,0.973136306
3.1,2.634851038,8.39,8.161692023
5.59,6.382953882,0.95,0.940257147
6.47,6.743065596,0.95,0.905173898
1.42,1.434237421,1.3,1.392403811
2.28,2.285102189,0.95,0.959674269
4.75,4.786400199,0.95,0.973924384
0.73,0.86571373,0.95,0.951914757
3.75,4.334650815,0.95,0.493073359
0.81,0.892888829,0.95,0.917748854
4.88,4.768972158,0.95,0.97160323
0.69,0.817099646,0.95,0.970566243
4.88,5.346047878,2.62,2.691276014
2.64,2.799428225,0.95,1.021420106
4.42,3.876823545,5.27,5.116565704
4.85,4.663084745,0.95,0.971933216
3.6,2.618310511,0.95,0.97381708
0.6,0.943401292,7.44,7.992209911
2.79,2.873764157,3.62,3.538908601
0.68,0.904330596,0.95,1.039088532
6.69,7.042149305,1.1,1.251849681
0.82,0.808768228,2.71,2.644544661
1.39,2.308591783,2.62,2.596463799
4.29,4.521437645,0.97,0.937847614
5.79,6.005989194,0.95,0.960780695
0.59,0.829416588,0.88,1.135222405
4.36,4.383468866,0.95,0.93881093
4.51,4.190229774,0.95,0.976472959
0.85,0.83342126,0.95,1.033640504
0.86,0.925981894,4.35,4.314076424
4.01,4.214872181,2.12,2.137387931
2.64,2.600158393,0.95,0.967818156
5.52,5.573896766,0.95,0.954641953
0.64,0.632000245,5.27,4.179847777
2.62,1.550054669,8.71,6.355536819
6.69,6.790701747,0.95,0.917508051
0.93,0.78743358,0.95,0.941797435
0.7,0.832581818,1.3,1.294397414
0.86,0.842488512,0.95,0.997823149
0.87,0.906590223,0.95,0.969457909
8.01,8.071364522,1.3,1.310732722
4.52,4.119457662,0.95,0.974056408
1.5,1.655001462,0.95,0.9316369
0.75,0.701704949,8.39,8.163506269
0.56,0.724130034,0.95,0.931553975
1.5,2.089636058,7.39,7.51931715
0.83,1.295010835,3.12,3.202651262
0.96,0.906155974,6.6,6.039961934
2.62,1.997683764,0.95,0.990571976
2.48,2.563755989,0.95,1.030763239
6.08,5.978552341,0.95,0.970867664
6.61,6.895880938,6.26,6.773127198
4.02,4.486548185,3.62,3.605290771
0.56,0.899275377,0.95,0.932665035
5.06,4.26220274,0.88,1.090522274
3.1,2.983560443,0.95,0.968813106
4.75,4.636378407,0.95,0.9604491
2.72,2.629035056,0.95,0.942654297
2.64,2.971582592,2.71,2.484120905
3.64,3.54109633,0.95,0.982804939
2.48,4.184857965,0.95,0.940960139
7.4,6.53365314,0.76,0.771247074
4.89,4.49810791,5.1,5.970507145
0.84,0.974937007,0.95,0.953179196
4.85,4.018583715,0.95,0.990393132
7.51,7.128545523,0.95,0.983521909
1.63,1.816814095,7.39,7.813848495
0.69,0.73579815,6.6,6.592130423
7.12,7.212265491,5.27,5.335646629
3.6,3.722446203,0.95,0.988542989
6.15,5.819011569,0.95,0.956541032
7.94,5.29350239,0.95,0.856008634
4.39,4.530133128,2.62,4.545105278
2.28,1.963286966,0.95,1.002543807
0.82,0.810011134,3.2,3.322170496
4.83,5.120408058,6.26,6.698536992
7.12,7.113825083,5.27,5.33224225
1.88,1.740383357,0.76,0.700094879
0.56,0.771135062,0.82,0.93776229
4.7,4.744746804,7.94,5.990147829
3.75,4.064934313,7.94,7.356137514
4.01,4.136337996,3.2,4.46044302
7.62,7.041538715,0.95,0.972744614
4.51,3.586458325,0.95,0.959069088
0.94,0.876138017,0.76,0.660497546
0.83,1.088826537,0.95,0.923563093
1.38,1.18699722,0.95,0.954590216
7.04,6.447320342,8.71,7.764560103
6.69,6.874265552,8.39,8.460955858
0.93,1.782583743,2.62,2.510029197
0.77,1.004583254,0.76,0.794246763
0.84,1.008292332,2.12,2.229047894
4.33,4.019779563,0.95,0.958113223
1.39,2.239516705,0.95,0.977821693
3.75,5.281197786,0.95,0.977799758
0.78,1.117755726,5.27,5.527188063
4.01,4.76080966,0.95,0.960967883
0.81,0.865922242,0.95,0.969920471
4.4,4.297813296,0.95,0.933393553
0.8,0.94284901,1.3,1.400065303
0.6,0.602223188,0.95,0.981149167
0.78,0.405569267,0.95,0.96130906
0.78,0.880161405,0.95,0.951347455
4.67,4.787160754,0.95,0.950167686
4.51,4.206482053,4.35,4.332446456
4.75,4.756817102,0.95,0.967246428
2.72,2.331304133,0.95,0.938172966
0.69,0.728761271,0.95,0.945806786
0.6,1.163645685,0.95,0.952991292
4.38,4.475019813,0.86,0.977472261
0.59,0.842712685,0.95,0.957516134
0.7,0.864649937,0.95,0.965529397
1.49,1.592750371,0.95,0.968307987
4.88,4.740990639,0.95,0.965774074
4.89,4.926451087,0.95,0.96649529
4.83,5.712656736,0.95,0.899594441
6.41,5.071190476,3.62,3.625302672
6.47,6.295534492,3.62,3.58332932
0.81,0.667941198,0.95,0.974236473
2.16,2.044812709,0.95,0.961564034
0.6,0.601082236,0.95,0.937772393
4.36,4.187467694,0.95,0.942982644
0.7,0.845290422,5.98,6.135163188
4.43,2.900625706,0.95,0.969316125
3.6,2.882326543,0.95,0.953431934
0.7,0.816784084,7.39,7.88476181
4.36,4.082268596,7.1,7.065588474
4.38,4.426671505,1.04,1.149473965
1.42,1.89086926,2.71,2.432039976
0.7,0.633580133,0.95,1.109821528
2.81,3.461054862,0.95,0.997158751
7.94,6.982031465,2.71,2.549588084
4.75,4.163202584,0.97,1.171390936
5.06,4.897153258,0.95,0.858541906
2.79,2.928147256,0.95,0.996104643
1.38,1.101025492,0.95,0.984152213
6.61,7.232403755,0.95,0.96763356
6.15,6.24552381,0.76,0.820661977
5.79,6.033456683,0.95,0.974048153
0.7,0.671775907,8.71,7.530430317
1.05,1.076347068,0.95,1.051533416
6.47,6.387464166,0.95,0.937555924
2.72,2.582367241,0.95,0.894340321
1.49,1.69720608,0.95,0.973964959
8.84,8.590257645,5.9,4.570388317
0.68,0.958938286,7.89,7.909050703
1.49,1.592193186,0.95,0.971611023
4.43,4.197524071,5.27,5.382292271
7.51,6.972924352,0.95,1.034535795
1.05,1.485303208,0.95,1.006802469
4.39,4.371161342,0.95,0.966335222
4.38,4.505777478,5.98,5.956206203
0.98,0.94126536,0.95,0.946853191
4.33,4.175993383,0.95,0.962157622
2.48,3.13923502,6.6,6.594508767
0.8,0.595844645,0.95,0.978278771
4.29,4.398010015,0.95,0.978540152
4.52,4.011222064,0.95,0.949828833
3.64,4.069174111,0.95,0.955672264
6.47,5.370796323,7.1,7.167602181
4.33,4.224170506,0.95,0.982423604
3.95,2.900549531,5.1,5.508861899
0.7,0.80690068,0.95,0.991495326
0.94,0.882432774,0.95,0.982745767
1.88,1.719409525,2.12,2.176052243
1.39,2.277223855,0.95,0.952018559
3.6,2.2997455,5.27,5.220632672
0.67,0.69727391,0.95,0.970407158
5.52,5.603993893,8.71,8.774213076
1.38,1.08539483,0.97,1.059209451
4.83,5.358018994,0.95,1.000803709
7.94,7.129935145,0.95,0.922507763
6.28,7.108901024,5.1,5.575500488
2.62,1.705648869,1.3,1.368853897
7.4,6.277309775,0.95,0.95114845
1.93,2.034437865,0.95,0.970997334
6.28,7.150927901,5.27,5.306093931
2.48,3.147431374,1.3,1.336792201
4.4,3.507477939,0.95,0.990134016
1.88,1.836826473,0.95,0.978065789
3.1,2.981901467,0.95,0.980067775
0.83,1.188261136,0.95,0.951302066
0.98,0.961825654,0.95,0.97101292
4.83,4.941690922,0.95,0.950319842
0.85,0.851826921,0.97,1.169105485
0.56,0.753502518,7.94,7.400250077
1.93,1.895472527,0.95,1.04598096
0.56,0.757443503,7.89,7.599614978
0.85,0.664433211,4.35,4.32341218
1.49,1.680510819,0.95,0.812105775
6.64,5.805913687,0.95,0.997091115
3.37,3.294062614,0.95,0.975298747
0.86,0.91842261,1.3,1.38593629
4.85,4.189798653,7.39,7.845376611
0.86,2.178937495,6.6,6.636288047
0.98,1.913456976,0.95,0.928796589
0.59,0.856243297,2.12,2.202389777
0.64,0.656432211,4.35,4.318939924
5.79,5.983931661,0.95,0.956519708
0.9,0.900961056,0.95,0.953499302
5.79,6.049409389,0.82,0.890623689
1.49,1.616808534,0.95,0.993813142
1.5,1.147117257,2.12,2.209448814
3.6,3.207411408,0.95,1.022881374
6.69,7.097517252,5.1,6.172451258
6.28,6.857203364,0.95,0.9992515
7.94,7.502380252,4.35,4.235364497
0.81,0.846825182,0.95,0.993955523
4.7,4.786793351,5,6.413405955
0.6,0.779689699,0.95,0.97384949
1.63,1.624944389,3.12,2.946993291
2.64,2.3804093,3.2,3.261532784
2.48,3.935941517,0.95,0.993470758
1.39,2.397034436,0.95,0.993805915
7.94,7.507121444,3.62,3.62705189
4.4,4.507795691,0.95,0.969476774
4.02,3.988761127,0.95,0.85705401
4.89,4.463198066,0.95,0.987940744
1.42,1.617641866,0.95,0.936307296
4.89,4.505295515,0.95,0.952174097
1.93,2.024525672,0.95,1.035203248
0.64,0.709228098,0.86,0.917820945
0.7,0.774779826,8.39,8.005816936
0.78,1.270160332,0.95,0.901254267
4.54,4.250955224,0.95,0.985011801
0.7,0.857614353,0.95,0.941151872
6.41,5.12298131,0.95,1.008502632
4.89,4.733204246,0.95,0.974610865
3.37,3.936369598,0.95,0.93749474
7.62,6.295461655,0.95,0.971665546
0.93,0.770238653,0.95,0.920788616
0.87,0.900107801,0.95,0.911799937
6.69,6.676344275,0.95,0.972801089
3.64,3.713506341,7.39,7.484915972
3.4,3.363860011,4.35,4.440466404
6.28,7.015373349,0.95,0.934838116
4.54,4.351168275,0.95,0.984683827
3.4,3.693985224,0.95,0.955633342
0.82,0.85048376,0.95,1.031798154
0.85,0.69471851,0.95,0.943520799
1.5,1.911993206,0.95,0.950954139
2.79,2.616589725,0.95,0.983283937
4.5,4.33699739,0.97,1.156991467
1.49,1.734176159,0.95,0.962157622
4.02,4.025112867,0.95,0.952154532
3.75,4.789876103,7.89,8.196023226
5.79,5.194066882,0.86,0.907025784
2.16,2.033483356,0.95,0.935803697
0.98,1.433922589,0.95,0.963123515
0.84,0.91729258,7.44,7.96571815
4.31,4.418668866,0.95,1.001817316
3.37,3.963213623,0.95,0.963461921
7.4,5.432615876,0.95,0.957100809
4.52,4.096463561,0.95,0.984073624
4.38,4.34817946,7.44,8.079279065
1.49,1.562787682,7.94,7.396806955
0.75,0.657435983,0.95,0.96542725
0.96,0.811180547,6.6,6.609445214
0.59,0.808441654,0.95,0.938369706
4.4,4.453130841,0.95,0.992953971
7.12,7.263195515,0.95,0.991893113
6.55,5.792361259,0.95,1.021990344
4.02,3.851500154,1.1,1.343180567
0.77,0.837921321,0.95,0.985096455
6.48,5.750555515,6.6,6.147504807
7.62,6.997964144,7.1,6.979397178
4.32,4.506562471,0.95,0.959651843
2.62,1.936351776,0.95,0.94843106
6.47,6.15188098,0.95,0.970952556
1.05,0.94425343,0.95,0.931247041
6.48,5.884741068,0.95,0.950315982
4.88,4.913684845,5.27,5.366704106
0.7,0.647682607,0.95,0.951075137
9.45,8.761643887,0.95,0.928634748
2.72,2.258438051,8.39,8.362362146
3.4,3.459781885,7.1,7.538619041
0.98,2.694968283,0.95,1.050116614
5.52,5.620346904,0.95,0.933095038
0.94,0.880769908,0.95,0.999372184
6.41,5.710334659,0.95,1.009858355
6.28,6.685684085,0.95,0.963859886
0.82,0.798415989,0.95,0.963013649
2.81,3.201610684,3.62,3.501734078
1.39,2.01218918,0.95,0.991589844
6.47,6.474651337,7.39,7.77539289
4.54,4.13562119,6.6,6.084815383
0.93,0.838833362,0.82,0.81030041
4.54,4.341392577,1.1,1.331213996
4.88,4.895429254,0.95,0.979921639
1.38,1.028013423,0.95,0.960258275
2.79,2.951161563,0.95,0.938247234
3.6,2.810634732,3.12,3.037392557
4.5,3.482267022,1.04,1.043938279
0.93,0.7517156,0.95,1.129328012
6.64,6.498430729,0.95,0.969803885
1.05,0.985328883,0.86,0.988833368
6.47,5.34598124,8.39,8.304821849
0.6,0.584734507,3.2,3.284833968
5.06,4.045283258,5.1,6.176500916
1.88,2.075952321,5.27,5.441818714
0.77,0.640424825,0.95,0.967549309
1.63,1.716705829,0.95,0.957574144
4.29,4.192342043,0.95,0.96805945
6.28,7.017604828,7.44,7.820977926
2.62,1.56608361,0.95,0.969287544
0.86,1.322690338,0.95,0.956160545
1.88,1.799877256,5,4.970834374
6.41,5.541814089,0.95,0.970320553
3.4,3.355037749,0.95,0.978899762
4.01,4.159678102,0.95,0.94167994
4.32,4.460587621,3.2,3.063610852
4.32,4.460646629,4.35,4.32813704
4.43,4.002913356,8.39,8.220907927
3.75,3.892560422,7.39,7.691478968
0.77,0.811763346,7.39,7.490754962
4.29,3.864981771,0.95,0.96954447
7.04,5.684918642,0.95,0.945136994
4.02,3.952281594,0.95,0.954484791
0.7,0.610999271,5.1,5.516295195
0.84,0.843044609,0.95,1.030991599
2.28,2.936381578,3.2,3.272493303
7.62,6.113446474,0.95,0.939289436
1.49,1.785230666,0.95,0.975806355
2.62,1.568100661,7.1,6.921073914
0.87,0.793839961,0.95,0.918206587
6.47,6.456732631,3.2,3.280270934
4.85,4.491925716,5,4.850608349
0.84,0.823401123,0.95,0.95450981
4.36,5.162610412,0.95,0.953631863
7.12,7.19516325,7.39,7.789945006
0.68,0.990517169,0.95,0.992973104
3.75,4.152257144,0.95,0.93594645
4.38,4.491107345,0.95,0.974106804
1.63,1.82337746,0.95,0.956708178
0.7,0.59526597,0.95,1.001452491
4.39,4.484060764,0.95,0.989152089
3.6,2.776805937,7.89,8.080443382
4.75,4.853158236,0.95,0.977401614
0.68,1.016028553,0.95,1.003681943
6.28,6.893906116,0.95,0.895268545
7.4,5.850239158,0.95,0.982200563
5.73,6.122851014,0.86,1.087656066
2.79,2.61849761,5.9,5.739681244
4.89,4.467367172,7.44,7.85322082
4.39,4.827810407,0.95,0.999793947
4.54,4.064751506,0.88,0.890877143
