"Real NN 3 for B,0; ,None - All data","Averages for B,0; ,None","Real NN 3 for B,1; ,None - All data","Averages for B,1; ,None"
0.95,1.021408468,0.98,1.345839739
1.3,1.303289026,3.1,2.564239681
3.37,3.249651432,0.96,1.42474097
0.7,0.635839626,4.29,3.912491262
3.04,2.875956535,4.54,4.33136487
0.95,0.969092026,6.08,5.6561203
0.95,0.991430864,0.96,1.223585188
0.76,0.730652854,6.28,6.888998151
0.95,1.009277135,0.98,0.953401789
6.47,6.482414246,0.98,0.952720329
0.94,0.887447,2.28,2.332949102
0.95,0.946778446,0.86,1.225036353
0.95,0.983370692,6.6,6.636288047
0.68,1.053788245,8.84,8.445789576
1.04,0.944636241,6.61,6.753255367
6.55,5.094676971,6.08,5.73002243
7.44,7.860482454,7.51,6.625851631
1.05,1.224834859,7.51,6.774131179
0.95,0.949707031,6.28,7.020962
6.69,7.086969137,6.08,5.645311356
0.82,0.968491256,5,6.413405955
0.93,0.773279294,8.01,8.118281007
0.95,0.929554075,2.62,1.928498656
0.95,1.002742887,2.28,2.226344466
2.71,4.777563691,3.1,2.587445855
5.59,6.589963794,0.98,1.877315164
4.33,3.817988336,2.48,3.585380793
0.95,0.936872482,7.51,7.109514117
2.64,2.930927753,6.08,5.978518009
1.88,1.816814095,4.54,4.276069283
0.86,0.941702396,0.96,1.317514062
2.16,1.978149086,4.67,4.562787056
6.55,6.358248711,4.67,4.532347441
4.1,3.966600835,0.86,1.168870926
1.04,1.482556254,4.29,4.402951241
7.39,7.697229266,8.01,8.100538135
0.64,0.681592688,4.67,4.275477886
0.95,0.998097822,0.9,0.772297144
3.75,3.75171119,4.54,4.063706994
0.81,0.772514239,6.6,6.609445214
0.95,0.935049683,8.84,8.826802731
0.69,0.379375465,6.6,6.147504807
4.52,4.12882483,0.96,0.862762153
2.16,2.214940548,2.48,2.629095554
0.95,0.904320449,0.98,0.952901363
7.62,7.87819159,2.62,1.440502375
6.26,6.466742754,6.6,6.084815383
9.45,8.862493992,8.84,8.618257523
7.04,5.739391804,2.62,1.447152406
3.95,3.61724478,4.67,4.293296933
0.95,0.98416692,4.54,4.238693416
5.59,6.50509274,4.54,4.17378974
0.95,0.97260651,3.1,2.561804295
0.95,0.966019809,7.94,6.925768018
0.8,1.053160384,6.28,6.855242014
0.97,0.796892613,0.98,0.950804055
