"Real NN 3 for C,0; ,None - All data","Averages for C,0; ,None","Real NN 3 for C,1; ,None - All data","Averages for C,1; ,None"
2.28,1.551034719,1.1,1.279422015
6.06,6.532515645,0.95,1.015715405
3.6,2.643240035,5.9,4.967470169
0.84,0.918082193,0.95,0.973679632
4.75,4.253744483,0.95,0.995753422
7.12,7.16666913,0.95,0.994882956
2.64,3.022567809,3.62,3.487691224
4.1,3.984154403,0.95,0.88476567
4.51,4.144445419,3.12,3.382332742
3.04,2.958423972,0.95,0.955206633
1.93,2.185344756,0.95,0.937587589
6.64,6.390552282,7.1,7.066198349
7.12,7.256545424,0.95,0.983501211
0.87,0.9219926,4.35,4.417785764
2.16,2.049366534,0.95,0.984585226
0.94,0.850219294,0.95,0.979243547
9.45,9.220988512,5.98,6.115855813
5.59,6.547213554,0.95,0.959899977
6.28,9.379606962,1.1,1.140219182
7.62,7.904669166,0.95,0.981311217
4.85,4.632447243,2.12,2.19734484
7.62,7.166756868,0.97,1.193057254
2.48,2.607272387,0.76,2.894168615
5.59,6.498665452,0.95,0.909813419
4.67,4.124787092,0.95,0.981366023
5.73,6.137375355,6.26,6.369299173
6.47,6.491140246,0.95,0.936113015
1.93,2.02362141,0.95,0.945817262
0.64,0.664961249,7.94,7.459157944
0.59,0.912788033,1.1,1.274419844
6.55,6.155646086,0.95,0.928647295
6.06,6.23344326,8.71,8.110861182
6.61,6.549995899,0.95,1.017538667
0.7,0.753822431,0.95,0.974286705
2.48,3.23595643,0.86,1.032964647
3.4,3.486275971,0.95,0.916028097
8.01,8.325239897,0.95,0.955996841
6.47,6.171666265,0.95,0.974717319
0.68,0.798185676,0.95,0.997202098
7.62,6.356174827,0.95,0.987949535
1.3,1.303289026,5.1,5.552179217
3.37,3.249651432,0.95,0.949005291
0.7,0.635839626,0.95,0.922579512
3.04,2.875956535,0.95,0.962798014
2.28,1.714895695,2.62,2.646012008
6.47,6.482414246,0.95,0.962551281
0.94,0.887447,0.95,0.954070419
0.68,1.053788245,7.39,7.534717679
6.55,5.094676971,0.95,1.013447121
6.28,6.995602846,0.95,0.917602092
1.05,1.224834859,0.95,0.935901076
6.69,7.086969137,5.98,6.075926304
2.62,1.675971061,7.89,8.110582709
0.93,0.773279294,0.95,0.953411147
5.59,6.589963794,0.95,0.968271717
4.33,3.817988336,0.95,0.974441305
3.2,3.271326661,0.95,0.953040421
2.64,2.930927753,0.95,0.967377275
1.88,1.816814095,0.95,0.955071032
2.16,1.978149086,0.95,0.950429142
6.55,6.358248711,0.82,0.853572354
4.1,3.966600835,0.95,0.94681105
0.64,0.681592688,0.95,0.947681829
3.75,3.75171119,6.26,6.749992967
0.81,0.772514239,0.95,0.945900396
4.54,4.221907675,0.95,0.975664511
0.69,0.379375465,7.1,5.36666441
4.52,4.12882483,0.95,0.904520988
2.16,2.214940548,0.95,0.931619033
7.62,7.87819159,0.88,0.921462104
9.45,8.862493992,0.95,0.965711981
7.04,5.739391804,8.71,8.294723988
7.51,7.057712555,7.44,7.971485376
3.95,3.61724478,0.82,0.983386442
5.59,6.50509274,7.94,7.444337487
8.84,8.986970901,0.95,0.852770343
0.8,1.053160384,0.95,0.983626455
1.63,1.968128145,0.95,0.995598957
6.6,6.590937734,0.95,0.986503333
4.29,4.424140811,3.12,3.004703224
6.64,5.638707876,8.39,8.412783384
3.6,2.458559334,0.95,0.991182774
4.7,4.5748294,7.94,8.851009846
1.93,1.90571177,0.95,1.014401689
6.55,6.369773746,7.94,7.438616395
4.54,4.235428333,7.39,7.485115051
4.83,5.793283582,8.71,8.607314348
0.73,1.31447795,0.95,1.000786528
5.73,6.171155334,0.95,1.004899442
0.94,0.750455484,0.95,0.918764949
0.86,1.540885568,0.82,0.956284121
6.41,5.728088617,0.95,0.970695242
1.3,1.443217188,7.89,7.583785176
7.62,8.005277872,5.27,5.328557253
8.01,8.2783916,0.95,0.938865528
8.01,8.195415974,0.95,0.950389221
2.79,2.475846648,8.71,7.725456595
0.73,1.245458335,7.44,7.320387721
4.88,4.84578681,0.95,0.95328182
0.64,0.625763349,0.82,1.005872697
8.84,8.462760448,0.95,0.965736091
4.67,3.975305796,0.88,1.153054282
0.83,1.088574722,0.95,0.947620139
6.15,6.405252457,0.95,0.821562991
2.48,2.838720918,0.95,0.990190461
0.67,0.619708359,0.88,0.968766138
1.49,1.647517085,0.95,0.915477589
4.51,4.176172256,7.44,7.97009778
1.42,1.637658507,0.95,0.936452493
4.02,4.238487422,0.95,0.998806491
4.67,3.951427758,0.95,0.953875169
8.01,8.124530911,3.2,4.107105613
1.49,1.663096309,0.95,0.977349058
4.1,4.146299779,5.1,5.838275075
0.68,1.107303247,0.82,0.823019654
6.48,6.229538918,7.44,8.097371697
7.04,6.872357845,0.95,0.963841349
4.01,4.22270304,2.62,2.651622772
1.42,1.557854265,0.86,0.892520145
1.49,1.713542759,1.1,1.344967231
0.94,0.867822722,0.95,0.968651697
0.86,0.88192226,0.95,1.010102049
2.64,2.589659333,0.95,0.934930846
0.87,0.773852989,8.71,8.439148664
4.29,4.381211638,0.97,1.164991811
0.68,0.944326788,4.35,4.332585931
5.52,5.909152389,0.95,0.951897725
6.06,6.227011085,0.95,0.979627505
3.64,3.649290621,0.95,0.982165664
2.48,2.802147031,3.2,4.11135298
4.02,4.346109927,0.95,0.9682758
3.04,2.873662591,7.44,8.017531395
5.59,6.058764219,0.95,0.982882008
5,5.05922401,0.95,0.947872907
4.31,4.431027532,0.95,0.998549372
1.39,2.126470149,0.95,0.961807147
0.7,0.969071433,7.44,7.720704436
5.79,6.008082986,5.1,6.091179013
4.36,5.101415157,0.95,0.925989121
4.33,4.116286397,0.95,0.95683153
2.81,3.05446744,0.95,0.935648292
0.7,0.843247548,0.95,0.973218039
0.77,0.671053886,0.95,0.98693645
6.6,6.593702435,0.95,0.955970153
0.59,0.832124859,0.95,1.035164759
4.4,4.43892777,0.95,0.921006843
1.38,0.957172364,3.2,3.836318254
4.54,4.247297049,0.95,0.947997779
0.87,0.915300295,0.95,0.981967583
4.4,4.498033762,0.95,0.871986568
4.89,5.075561166,2.62,2.768075407
4.5,4.518956065,0.95,0.984533936
4.89,5.062007666,0.95,0.936125889
4.31,4.436163187,0.86,1.907879859
0.84,0.868506223,0.95,0.988699347
5.59,6.322657108,0.95,0.98445268
7.12,7.138174534,0.95,0.997908846
0.93,0.990710258,0.95,0.954534069
1.5,1.797256052,0.95,0.968813106
4.39,4.88373208,0.95,0.980471194
4.5,4.189879239,0.95,0.968170747
4.39,4.832084775,0.95,0.928373829
0.83,1.545968115,3.62,3.320212007
4.1,4.106054544,0.95,0.971958399
4.29,4.425245166,0.95,0.98278074
1.05,0.931757167,0.95,0.951039195
0.7,0.620931987,0.95,0.984892234
4.29,3.807523191,0.95,0.972730547
1.38,1.234467626,7.89,7.612661242
4.89,4.806663752,2.71,2.650892317
4.38,4.409609556,0.95,0.980503261
6.47,5.939070702,0.95,0.932834893
4.02,3.953057647,0.95,0.951596454
7.12,6.811142325,7.1,7.050387144
3.64,3.762432098,0.95,0.936414078
4.67,4.88664341,5.27,5.382075906
2.16,2.179265559,0.95,1.001203105
4.89,4.483266354,0.95,1.07583873
4.85,4.519291043,0.95,1.020440742
6.69,6.955719471,7.1,7.105035663
4.5,4.402231336,0.95,0.976349458
4.36,3.362885058,1.1,1.261186093
4.01,4.168322206,0.88,0.947426692
0.73,0.774053186,7.89,8.168182731
3.64,3.697567999,8.71,7.946751475
0.69,0.690006062,0.95,0.927381575
7.51,7.106649756,6.26,6.773659229
0.86,0.90062125,5.27,5.322799444
0.7,1.008694991,0.95,1.069010153
0.78,1.164840743,0.95,0.917426944
7.53,6.029830217,0.95,1.00927192
1.42,1.64411819,0.95,0.945834428
1.39,2.322751999,8.71,8.233436823
0.85,0.907433689,0.95,0.95842123
7.4,6.29214561,0.95,0.953726694
8.84,8.437441349,0.97,1.160418615
0.73,1.268634588,0.95,0.949162841
7.4,6.32722652,0.95,1.020582587
3.75,4.311265051,0.95,0.928873494
0.83,1.163004041,7.94,7.643860102
3.04,2.931312919,0.95,0.972128108
0.84,0.822490931,1.1,1.259250939
2.28,2.490096629,0.95,0.988669083
1.93,2.006483406,0.95,0.936037719
4.67,4.824283481,0.95,0.991588414
4.88,4.768823743,0.95,0.973214805
0.6,0.792517722,0.95,0.981284961
0.8,1.128176242,0.95,0.94358477
2.62,1.752451867,2.71,2.619988501
4.51,4.19927752,0.95,1.076106817
0.8,1.179711312,0.82,0.976702601
1.38,1.0211647,2.71,2.611681819
8.84,8.639510393,0.95,0.904001996
5.06,4.708977103,0.95,0.944885969
0.56,0.742760897,0.97,1.09833163
1.3,1.413945466,3.12,2.942115605
0.69,0.67204079,0.86,3.94570899
6.61,6.576143265,0.95,1.01656349
4.32,4.611504674,3.2,3.43163991
0.8,0.967805058,0.95,1.034608215
0.94,0.897764117,2.12,2.172306716
6.47,6.445360422,0.95,0.971263587
6.64,6.336253524,0.95,0.956426561
6.55,6.359967113,0.95,1.029574469
3.1,2.583479345,0.95,0.993578941
4.7,4.411358595,0.95,0.965581611
0.9,0.912049904,8.39,7.057087183
2.37,1.94714883,2.62,2.412237167
4.29,4.27284795,0.95,0.989741623
0.67,0.719605356,5.27,5.36560905
0.85,0.842061788,0.95,0.92678535
3.04,3.118071377,0.95,0.974687532
2.28,2.550444961,0.95,0.996017829
4.29,3.955022275,0.95,0.966026843
0.86,1.054844379,0.95,0.945456088
0.68,0.954930454,0.97,0.901695266
5,5.505586982,0.95,0.973136306
0.86,1.223490775,8.39,8.161692023
7.53,6.855616331,0.95,0.940257147
0.67,0.66178216,0.95,0.905173898
4.85,4.783895731,0.95,0.959674269
4.33,3.896129429,0.95,0.973924384
4.5,4.419525981,0.95,0.951914757
0.8,0.888588518,0.95,0.493073359
0.69,0.722108513,0.95,0.917748854
1.05,0.990421161,0.95,0.97160323
7.62,7.983933568,0.95,0.970566243
3.1,2.799052119,2.62,2.691276014
2.81,3.531993866,0.95,1.021420106
4.39,4.617334604,5.27,5.116565704
7.53,5.928685546,0.95,0.971933216
6.48,6.093292594,0.95,0.97381708
2.16,2.220675409,7.44,7.992209911
4.4,4.449853063,3.62,3.538908601
4.4,4.509079933,0.95,1.039088532
0.87,0.945462495,1.1,1.251849681
1.3,1.455700994,2.71,2.644544661
3.4,3.480961204,2.62,2.596463799
3.1,2.597580671,0.97,0.937847614
0.8,0.990658507,0.95,0.960780695
2.64,2.622690737,0.88,1.135222405
0.96,0.886976346,0.95,0.93881093
2.37,2.019465566,0.95,0.976472959
4.1,5.699711204,0.95,1.033640504
6.55,6.277981043,4.35,4.314076424
0.98,1.025659651,2.12,2.137387931
0.86,1.438089669,0.95,0.967818156
1.3,1.428192019,0.95,0.954641953
9.45,6.60330832,5.27,4.179847777
4.83,4.940968633,8.71,6.355536819
0.85,0.714563832,0.95,0.917508051
0.84,1.847903907,0.95,0.941797435
3.1,2.634851038,0.95,0.997823149
5.59,6.382953882,0.95,0.969457909
6.47,6.743065596,0.95,0.974056408
1.42,1.434237421,0.95,0.9316369
2.28,2.285102189,8.39,8.163506269
4.75,4.786400199,0.95,0.931553975
0.73,0.86571373,7.39,7.51931715
3.75,4.334650815,3.12,3.202651262
0.81,0.892888829,0.95,0.990571976
4.88,4.768972158,0.95,1.030763239
0.69,0.817099646,0.95,0.970867664
4.88,5.346047878,6.26,6.773127198
2.64,2.799428225,3.62,3.605290771
4.42,3.876823545,0.95,0.932665035
4.85,4.663084745,0.88,1.090522274
3.6,2.618310511,0.95,0.968813106
0.6,0.943401292,0.95,0.9604491
2.79,2.873764157,0.95,0.942654297
0.68,0.904330596,2.71,2.484120905
6.69,7.042149305,0.95,0.982804939
0.82,0.808768228,0.95,0.940960139
1.39,2.308591783,0.76,0.771247074
4.29,4.521437645,5.1,5.970507145
5.79,6.005989194,0.95,0.953179196
0.59,0.829416588,0.95,0.990393132
4.36,4.383468866,0.95,0.983521909
4.51,4.190229774,7.39,7.813848495
0.85,0.83342126,5.27,5.335646629
0.86,0.925981894,0.95,0.988542989
4.01,4.214872181,0.95,0.956541032
2.64,2.600158393,0.95,0.856008634
5.52,5.573896766,2.62,4.545105278
0.64,0.632000245,0.95,1.002543807
2.62,1.550054669,3.2,3.322170496
6.69,6.790701747,6.26,6.698536992
0.93,0.78743358,5.27,5.33224225
0.7,0.832581818,0.76,0.700094879
1.3,1.389318138,0.82,0.93776229
0.86,0.842488512,7.94,5.990147829
0.87,0.906590223,7.94,7.356137514
8.01,8.071364522,3.2,4.46044302
4.52,4.119457662,0.95,0.972744614
1.5,1.655001462,0.95,0.959069088
0.75,0.701704949,0.76,0.660497546
0.56,0.724130034,0.95,0.923563093
1.5,2.089636058,0.95,0.954590216
0.83,1.295010835,8.71,7.764560103
0.96,0.906155974,8.39,8.460955858
2.62,1.997683764,2.62,2.510029197
2.48,2.563755989,0.76,0.794246763
5,4.958213449,2.12,2.229047894
6.08,5.978552341,0.95,0.958113223
6.61,6.895880938,0.95,0.977821693
4.02,4.486548185,0.95,0.977799758
0.56,0.899275377,5.27,5.527188063
5.06,4.26220274,0.95,0.960967883
3.1,2.983560443,0.95,0.969920471
4.75,4.636378407,0.95,0.933393553
2.72,2.629035056,0.95,0.981149167
2.64,2.971582592,0.95,0.96130906
3.64,3.54109633,0.95,0.951347455
2.48,4.184857965,0.95,0.950167686
7.4,6.53365314,4.35,4.332446456
4.89,4.49810791,0.95,0.967246428
0.84,0.974937007,0.95,0.938172966
4.85,4.018583715,0.95,0.945806786
7.51,7.128545523,0.95,0.952991292
1.63,1.816814095,0.86,0.977472261
0.69,0.73579815,0.95,0.957516134
7.12,7.212265491,0.95,0.965529397
3.6,3.722446203,0.95,0.968307987
6.15,5.819011569,0.95,0.965774074
7.94,5.29350239,0.95,0.96649529
4.39,4.530133128,0.95,0.899594441
2.28,1.963286966,3.62,3.625302672
3.2,3.270049572,3.62,3.58332932
0.82,0.810011134,0.95,0.974236473
4.83,5.120408058,0.95,0.961564034
7.12,7.113825083,0.95,0.937772393
1.88,1.740383357,0.95,0.942982644
0.56,0.771135062,5.98,6.135163188
4.7,4.744746804,0.95,0.969316125
3.75,4.064934313,0.95,0.953431934
4.01,4.136337996,7.39,7.88476181
7.62,7.041538715,7.1,7.065588474
4.51,3.586458325,1.04,1.149473965
0.94,0.876138017,2.71,2.432039976
0.83,1.088826537,0.95,1.109821528
1.3,1.384234637,0.95,0.997158751
1.38,1.18699722,2.71,2.549588084
7.04,6.447320342,0.97,1.171390936
6.69,6.874265552,0.95,0.858541906
0.93,1.782583743,0.95,0.996104643
0.77,1.004583254,0.95,0.984152213
0.84,1.008292332,0.95,0.96763356
4.33,4.019779563,0.76,0.820661977
1.39,2.239516705,0.95,0.974048153
3.75,5.281197786,8.71,7.530430317
0.78,1.117755726,0.95,1.051533416
4.01,4.76080966,0.95,0.937555924
0.81,0.865922242,0.95,0.894340321
3.2,3.194468439,0.95,0.973964959
4.4,4.297813296,5.9,4.570388317
0.8,0.94284901,7.89,7.909050703
0.6,0.602223188,0.95,0.971611023
0.78,0.405569267,5.27,5.382292271
0.78,0.880161405,0.95,1.034535795
4.67,4.787160754,0.95,1.006802469
4.51,4.206482053,0.95,0.966335222
4.75,4.756817102,5.98,5.956206203
2.72,2.331304133,0.95,0.946853191
0.69,0.728761271,0.95,0.962157622
0.6,1.163645685,0.95,0.978278771
4.38,4.475019813,0.95,0.978540152
0.59,0.842712685,0.95,0.949828833
0.7,0.864649937,0.95,0.955672264
1.49,1.592750371,7.1,7.167602181
4.88,4.740990639,0.95,0.982423604
4.89,4.926451087,5.1,5.508861899
4.83,5.712656736,0.95,0.991495326
6.41,5.071190476,0.95,0.982745767
6.47,6.295534492,2.12,2.176052243
0.81,0.667941198,0.95,0.952018559
2.16,2.044812709,5.27,5.220632672
0.6,0.601082236,0.95,0.970407158
4.36,4.187467694,8.71,8.774213076
0.7,0.845290422,0.97,1.059209451
4.43,2.900625706,0.95,1.000803709
3.6,2.882326543,0.95,0.922507763
0.7,0.816784084,5.1,5.575500488
4.36,4.082268596,0.95,0.95114845
4.38,4.426671505,0.95,0.970997334
1.42,1.89086926,5.27,5.306093931
0.7,0.633580133,0.95,0.990134016
2.81,3.461054862,0.95,0.978065789
7.94,6.982031465,0.95,0.980067775
4.75,4.163202584,0.95,0.951302066
5.06,4.897153258,0.95,0.97101292
2.79,2.928147256,0.95,0.950319842
1.38,1.101025492,0.97,1.169105485
6.61,7.232403755,7.94,7.400250077
6.15,6.24552381,0.95,1.04598096
5.79,6.033456683,7.89,7.599614978
0.7,0.671775907,4.35,4.32341218
1.05,1.076347068,0.95,0.812105775
6.47,6.387464166,0.95,0.997091115
2.72,2.582367241,0.95,0.975298747
1.49,1.69720608,7.39,7.845376611
8.84,8.590257645,0.95,0.928796589
0.68,0.958938286,2.12,2.202389777
1.49,1.592193186,4.35,4.318939924
4.43,4.197524071,0.95,0.956519708
7.51,6.972924352,0.95,0.953499302
1.05,1.485303208,0.82,0.890623689
4.39,4.371161342,0.95,0.993813142
4.38,4.505777478,2.12,2.209448814
0.98,0.94126536,0.95,1.022881374
4.33,4.175993383,5.1,6.172451258
2.48,3.13923502,0.95,0.9992515
0.8,0.595844645,4.35,4.235364497
4.29,4.398010015,0.95,0.993955523
4.52,4.011222064,0.95,0.97384949
3.64,4.069174111,3.12,2.946993291
6.47,5.370796323,3.2,3.261532784
4.33,4.224170506,0.95,0.993470758
3.95,2.900549531,0.95,0.993805915
0.7,0.80690068,3.62,3.62705189
0.94,0.882432774,0.95,0.969476774
1.88,1.719409525,0.95,0.85705401
1.39,2.277223855,0.95,0.987940744
3.6,2.2997455,0.95,0.936307296
0.67,0.69727391,0.95,0.952174097
5.52,5.603993893,0.95,1.035203248
1.38,1.08539483,0.86,0.917820945
4.83,5.358018994,8.39,8.005816936
7.94,7.129935145,0.95,0.901254267
6.28,7.108901024,0.95,0.985011801
2.62,1.705648869,0.95,0.941151872
7.4,6.277309775,0.95,1.008502632
1.93,2.034437865,0.95,0.974610865
6.28,7.150927901,0.95,0.93749474
2.48,3.147431374,0.95,0.971665546
5,5.502708435,0.95,0.920788616
4.4,3.507477939,0.95,0.911799937
1.88,1.836826473,0.95,0.972801089
1.3,1.286225587,7.39,7.484915972
3.1,2.981901467,4.35,4.440466404
0.83,1.188261136,0.95,0.934838116
0.98,0.961825654,0.95,0.984683827
4.83,4.941690922,0.95,0.955633342
0.85,0.851826921,0.95,1.031798154
0.56,0.753502518,0.95,0.943520799
1.93,1.895472527,0.95,0.950954139
0.56,0.757443503,0.95,0.983283937
3.2,3.20965153,0.97,1.156991467
0.85,0.664433211,0.95,0.962157622
1.49,1.680510819,0.95,0.952154532
6.64,5.805913687,7.89,8.196023226
3.37,3.294062614,0.86,0.907025784
0.86,0.91842261,0.95,0.935803697
4.85,4.189798653,0.95,0.963123515
0.86,2.178937495,7.44,7.96571815
0.98,1.913456976,0.95,1.001817316
0.59,0.856243297,0.95,0.963461921
0.64,0.656432211,0.95,0.957100809
5.79,5.983931661,0.95,0.984073624
0.9,0.900961056,7.44,8.079279065
5.79,6.049409389,7.94,7.396806955
1.49,1.616808534,0.95,0.96542725
1.5,1.147117257,0.95,0.938369706
3.6,3.207411408,0.95,0.992953971
6.69,7.097517252,0.95,0.991893113
6.28,6.857203364,0.95,1.021990344
7.94,7.502380252,1.1,1.343180567
0.81,0.846825182,0.95,0.985096455
4.7,4.786793351,7.1,6.979397178
0.6,0.779689699,0.95,0.959651843
1.63,1.624944389,0.95,0.94843106
2.64,2.3804093,0.95,0.970952556
2.48,3.935941517,0.95,0.931247041
1.39,2.397034436,0.95,0.950315982
7.94,7.507121444,5.27,5.366704106
4.4,4.507795691,0.95,0.951075137
4.02,3.988761127,0.95,0.928634748
4.89,4.463198066,8.39,8.362362146
1.42,1.617641866,7.1,7.538619041
4.89,4.505295515,0.95,1.050116614
1.93,2.024525672,0.95,0.933095038
0.64,0.709228098,0.95,0.999372184
0.7,0.774779826,0.95,1.009858355
0.78,1.270160332,0.95,0.963859886
4.54,4.250955224,0.95,0.963013649
0.7,0.857614353,3.62,3.501734078
6.41,5.12298131,0.95,0.991589844
4.89,4.733204246,7.39,7.77539289
3.37,3.936369598,0.82,0.81030041
7.62,6.295461655,1.1,1.331213996
0.93,0.770238653,0.95,0.979921639
0.87,0.900107801,0.95,0.960258275
6.69,6.676344275,0.95,0.938247234
3.64,3.713506341,3.12,3.037392557
3.4,3.363860011,1.04,1.043938279
6.28,7.015373349,0.95,1.129328012
4.54,4.351168275,0.95,0.969803885
3.4,3.693985224,0.86,0.988833368
0.82,0.85048376,8.39,8.304821849
0.85,0.69471851,3.2,3.284833968
1.5,1.911993206,5.1,6.176500916
2.79,2.616589725,5.27,5.441818714
4.5,4.33699739,0.95,0.967549309
1.49,1.734176159,0.95,0.957574144
4.02,4.025112867,0.95,0.96805945
3.75,4.789876103,7.44,7.820977926
5.79,5.194066882,0.95,0.969287544
2.16,2.033483356,0.95,0.956160545
6.6,6.53862679,0.95,0.970320553
0.98,1.433922589,0.95,0.978899762
0.84,0.91729258,0.95,0.94167994
4.31,4.418668866,4.35,4.32813704
3.37,3.963213623,8.39,8.220907927
7.4,5.432615876,7.39,7.691478968
4.52,4.096463561,7.39,7.490754962
1.3,1.392403811,0.95,0.96954447
4.38,4.34817946,0.95,0.945136994
1.49,1.562787682,0.95,0.954484791
0.75,0.657435983,5.1,5.516295195
0.96,0.811180547,0.95,1.030991599
0.59,0.808441654,0.95,0.939289436
4.4,4.453130841,0.95,0.975806355
7.12,7.263195515,7.1,6.921073914
6.55,5.792361259,0.95,0.918206587
4.02,3.851500154,0.95,0.95450981
0.77,0.837921321,0.95,0.953631863
6.48,5.750555515,7.39,7.789945006
7.62,6.997964144,0.95,0.992973104
4.32,4.506562471,0.95,0.93594645
2.62,1.936351776,0.95,0.974106804
6.47,6.15188098,0.95,0.956708178
1.05,0.94425343,0.95,1.001452491
6.48,5.884741068,0.95,0.989152089
4.88,4.913684845,7.89,8.080443382
0.7,0.647682607,0.95,0.977401614
9.45,8.761643887,0.95,1.003681943
2.72,2.258438051,0.95,0.895268545
3.4,3.459781885,0.95,0.982200563
0.98,2.694968283,0.86,1.087656066
5.52,5.620346904,5.9,5.739681244
0.94,0.880769908,7.44,7.85322082
6.41,5.710334659,0.95,0.999793947
6.28,6.685684085,0.88,0.890877143
0.82,0.798415989,0.95,0.946751714
2.81,3.201610684,0.95,1.011454657
1.39,2.01218918,0.95,0.996703491
6.47,6.474651337,0.95,0.950960472
4.54,4.13562119,0.76,0.840255871
0.93,0.838833362,0.95,1.022481933
4.54,4.341392577,3.62,3.504641533
4.88,4.895429254,0.86,0.949100092
1.38,1.028013423,2.12,2.202051818
2.79,2.951161563,0.95,0.949308187
3.6,2.810634732,0.95,0.981602117
4.5,3.482267022,0.95,1.016070947
0.93,0.7517156,0.95,1.009332523
6.64,6.498430729,5.1,5.760680437
1.05,0.985328883,0.95,0.992468089
6.47,5.34598124,0.95,0.944225073
0.6,0.584734507,0.95,1.014717132
5.06,4.045283258,7.1,6.940961361
1.88,2.075952321,1.04,1.362895399
0.77,0.640424825,8.39,8.34759903
1.3,1.294397414,2.62,2.654256225
1.63,1.716705829,0.95,0.951041475
4.29,4.192342043,0.95,0.946659282
6.28,7.017604828,0.95,0.893118903
2.62,1.56608361,2.12,2.224247575
0.86,1.322690338,7.89,6.556733489
1.88,1.799877256,0.95,0.95884937
1.3,1.310732722,0.95,0.931400388
6.41,5.541814089,0.95,0.941592172
3.4,3.355037749,0.95,0.862013061
4.01,4.159678102,0.95,0.952257246
4.32,4.460587621,0.95,0.927853525
4.32,4.460646629,7.39,7.878404021
4.43,4.002913356,0.95,0.972895786
3.75,3.892560422,6.26,6.756031632
0.77,0.811763346,0.95,0.889144674
4.29,3.864981771,8.39,8.144705415
7.04,5.684918642,0.88,0.935914978
4.02,3.952281594,3.62,3.632281244
0.7,0.610999271,0.95,0.998340026
0.84,0.843044609,0.95,0.934134692
2.28,2.936381578,0.95,0.95120497
7.62,6.113446474,2.62,2.591021597
1.49,1.785230666,7.89,7.924794555
2.62,1.568100661,0.95,0.89508152
0.87,0.793839961,0.95,0.991523117
6.47,6.456732631,0.95,0.969740346
4.85,4.491925716,7.1,7.058474064
